,noise_std,num_hf,num_lf,problem,seed
0,0.3,10,200,Forrester_1b,10
1,0.3,15,200,Forrester_1b,10
2,0.3,20,200,Forrester_1b,10
3,0.3,25,200,Forrester_1b,10
4,0.3,30,200,Forrester_1b,10
5,0.3,35,200,Forrester_1b,10
6,0.3,40,200,Forrester_1b,10
7,0.3,45,200,Forrester_1b,10
8,0.3,50,200,Forrester_1b,10
9,0.3,10,200,Forrester_1b,11
10,0.3,15,200,Forrester_1b,11
11,0.3,20,200,Forrester_1b,11
12,0.3,25,200,Forrester_1b,11
13,0.3,30,200,Forrester_1b,11
14,0.3,35,200,Forrester_1b,11
15,0.3,40,200,Forrester_1b,11
16,0.3,45,200,Forrester_1b,11
17,0.3,50,200,Forrester_1b,11
18,0.3,10,200,Forrester_1b,20
19,0.3,15,200,Forrester_1b,20
20,0.3,20,200,Forrester_1b,20
21,0.3,25,200,Forrester_1b,20
22,0.3,30,200,Forrester_1b,20
23,0.3,35,200,Forrester_1b,20
24,0.3,40,200,Forrester_1b,20
25,0.3,45,200,Forrester_1b,20
26,0.3,50,200,Forrester_1b,20
27,0.3,10,200,Forrester_1b,21
28,0.3,15,200,Forrester_1b,21
29,0.3,20,200,Forrester_1b,21
30,0.3,25,200,Forrester_1b,21
31,0.3,30,200,Forrester_1b,21
32,0.3,35,200,Forrester_1b,21
33,0.3,40,200,Forrester_1b,21
34,0.3,45,200,Forrester_1b,21
35,0.3,50,200,Forrester_1b,21
36,0.3,10,200,Forrester_1b,30
37,0.3,15,200,Forrester_1b,30
38,0.3,20,200,Forrester_1b,30
39,0.3,25,200,Forrester_1b,30
40,0.3,30,200,Forrester_1b,30
41,0.3,35,200,Forrester_1b,30
42,0.3,40,200,Forrester_1b,30
43,0.3,45,200,Forrester_1b,30
44,0.3,50,200,Forrester_1b,30
45,0.3,10,200,Forrester_1b,31
46,0.3,15,200,Forrester_1b,31
47,0.3,20,200,Forrester_1b,31
48,0.3,25,200,Forrester_1b,31
49,0.3,30,200,Forrester_1b,31
50,0.3,35,200,Forrester_1b,31
51,0.3,40,200,Forrester_1b,31
52,0.3,45,200,Forrester_1b,31
53,0.3,50,200,Forrester_1b,31
54,0.3,10,200,Forrester_1b,40
55,0.3,15,200,Forrester_1b,40
56,0.3,20,200,Forrester_1b,40
57,0.3,25,200,Forrester_1b,40
58,0.3,30,200,Forrester_1b,40
59,0.3,35,200,Forrester_1b,40
60,0.3,40,200,Forrester_1b,40
61,0.3,45,200,Forrester_1b,40
62,0.3,50,200,Forrester_1b,40
63,0.3,10,200,Forrester_1b,41
64,0.3,15,200,Forrester_1b,41
65,0.3,20,200,Forrester_1b,41
66,0.3,25,200,Forrester_1b,41
67,0.3,30,200,Forrester_1b,41
68,0.3,35,200,Forrester_1b,41
69,0.3,40,200,Forrester_1b,41
70,0.3,45,200,Forrester_1b,41
71,0.3,50,200,Forrester_1b,41
72,0.3,10,200,Forrester_1b,50
73,0.3,15,200,Forrester_1b,50
74,0.3,20,200,Forrester_1b,50
75,0.3,25,200,Forrester_1b,50
76,0.3,30,200,Forrester_1b,50
77,0.3,35,200,Forrester_1b,50
78,0.3,40,200,Forrester_1b,50
79,0.3,45,200,Forrester_1b,50
80,0.3,50,200,Forrester_1b,50
81,0.3,10,200,Forrester_1b,51
82,0.3,15,200,Forrester_1b,51
83,0.3,20,200,Forrester_1b,51
84,0.3,25,200,Forrester_1b,51
85,0.3,30,200,Forrester_1b,51
86,0.3,35,200,Forrester_1b,51
87,0.3,40,200,Forrester_1b,51
88,0.3,45,200,Forrester_1b,51
89,0.3,50,200,Forrester_1b,51
