,method,noise_std,num_hf,num_lf,problem,seed
0,hk,0.3,5,200,mf_Bohachevsky,10
1,hk,0.3,10,200,mf_Bohachevsky,10
2,cokriging,0.3,15,200,mf_Bohachevsky,10
3,mf_rbf_gpr,0.3,20,200,mf_Bohachevsky,10
4,hk,0.3,25,200,mf_Bohachevsky,10
5,hk,0.3,30,200,mf_Bohachevsky,10
6,scaled_kriging,0.3,5,200,mf_Bohachevsky,20
7,hk,0.3,10,200,mf_Bohachevsky,20
8,scaled_kriging,0.3,15,200,mf_Bohachevsky,20
9,scaled_kriging,0.3,20,200,mf_Bohachevsky,20
10,scaled_kriging,0.3,25,200,mf_Bohachevsky,20
11,cokriging,0.3,30,200,mf_Bohachevsky,20
12,hk,0.3,5,200,mf_Bohachevsky,30
13,cokriging,0.3,10,200,mf_Bohachevsky,30
14,hk,0.3,15,200,mf_Bohachevsky,30
15,scaled_kriging,0.3,20,200,mf_Bohachevsky,30
16,hk,0.3,25,200,mf_Bohachevsky,30
17,scaled_kriging,0.3,30,200,mf_Bohachevsky,30
18,scaled_kriging,0.3,5,200,mf_Bohachevsky,40
19,mf_rbf_gpr,0.3,10,200,mf_Bohachevsky,40
20,mf_rbf_gpr,0.3,15,200,mf_Bohachevsky,40
21,cokriging,0.3,20,200,mf_Bohachevsky,40
22,mf_rbf_gpr,0.3,25,200,mf_Bohachevsky,40
23,cokriging,0.3,30,200,mf_Bohachevsky,40
24,scaled_kriging,0.3,5,200,mf_Bohachevsky,50
25,mf_rbf_gpr,0.3,10,200,mf_Bohachevsky,50
26,cokriging,0.3,15,200,mf_Bohachevsky,50
27,scaled_kriging,0.3,20,200,mf_Bohachevsky,50
28,scaled_kriging,0.3,25,200,mf_Bohachevsky,50
29,mf_rbf_gpr,0.3,30,200,mf_Bohachevsky,50
30,scaled_kriging,0.3,5,200,mf_Bohachevsky,60
31,hk,0.3,10,200,mf_Bohachevsky,60
32,hk,0.3,15,200,mf_Bohachevsky,60
33,hk,0.3,20,200,mf_Bohachevsky,60
34,hk,0.3,25,200,mf_Bohachevsky,60
35,mf_rbf_gpr,0.3,30,200,mf_Bohachevsky,60
36,cokriging,0.3,5,200,mf_Bohachevsky,70
37,scaled_kriging,0.3,10,200,mf_Bohachevsky,70
38,cokriging,0.3,15,200,mf_Bohachevsky,70
39,mf_rbf_gpr,0.3,20,200,mf_Bohachevsky,70
40,scaled_kriging,0.3,25,200,mf_Bohachevsky,70
41,hk,0.3,30,200,mf_Bohachevsky,70
42,mf_rbf_gpr,0.3,5,200,mf_Bohachevsky,80
43,hk,0.3,10,200,mf_Bohachevsky,80
44,scaled_kriging,0.3,15,200,mf_Bohachevsky,80
45,hk,0.3,20,200,mf_Bohachevsky,80
46,mf_rbf_gpr,0.3,25,200,mf_Bohachevsky,80
47,scaled_kriging,0.3,30,200,mf_Bohachevsky,80
48,hk,0.3,5,200,mf_Bohachevsky,90
49,hk,0.3,10,200,mf_Bohachevsky,90
50,cokriging,0.3,15,200,mf_Bohachevsky,90
51,hk,0.3,20,200,mf_Bohachevsky,90
52,mf_rbf_gpr,0.3,25,200,mf_Bohachevsky,90
53,scaled_kriging,0.3,30,200,mf_Bohachevsky,90
54,scaled_kriging,0.3,5,200,mf_Bohachevsky,100
55,cokriging,0.3,10,200,mf_Bohachevsky,100
56,mf_rbf_gpr,0.3,15,200,mf_Bohachevsky,100
57,hk,0.3,20,200,mf_Bohachevsky,100
58,mf_rbf_gpr,0.3,25,200,mf_Bohachevsky,100
59,scaled_kriging,0.3,30,200,mf_Bohachevsky,100
60,cokriging,0.3,5,200,Forrester_1b,10
61,mf_rbf_gpr,0.3,10,200,Forrester_1b,10
62,mf_rbf_gpr,0.3,15,200,Forrester_1b,10
63,mf_rbf_gpr,0.3,20,200,Forrester_1b,10
64,mf_rbf_gpr,0.3,25,200,Forrester_1b,10
65,cokriging,0.3,30,200,Forrester_1b,10
66,mf_rbf_gpr,0.3,5,200,Forrester_1b,20
67,scaled_kriging,0.3,10,200,Forrester_1b,20
68,cokriging,0.3,15,200,Forrester_1b,20
69,cokriging,0.3,20,200,Forrester_1b,20
70,mf_rbf_gpr,0.3,25,200,Forrester_1b,20
71,hk,0.3,30,200,Forrester_1b,20
72,cokriging,0.3,5,200,Forrester_1b,30
73,mf_rbf_gpr,0.3,10,200,Forrester_1b,30
74,cokriging,0.3,15,200,Forrester_1b,30
75,cokriging,0.3,20,200,Forrester_1b,30
76,cokriging,0.3,25,200,Forrester_1b,30
77,mf_rbf_gpr,0.3,30,200,Forrester_1b,30
78,scaled_kriging,0.3,5,200,Forrester_1b,40
79,mf_rbf_gpr,0.3,10,200,Forrester_1b,40
80,cokriging,0.3,15,200,Forrester_1b,40
81,scaled_kriging,0.3,20,200,Forrester_1b,40
82,cokriging,0.3,25,200,Forrester_1b,40
83,cokriging,0.3,30,200,Forrester_1b,40
84,cokriging,0.3,5,200,Forrester_1b,50
85,hk,0.3,10,200,Forrester_1b,50
86,scaled_kriging,0.3,15,200,Forrester_1b,50
