,num_hf,num_lf,problem,seed
0,2,100,mf_Bohachevsky,10
1,4,100,mf_Bohachevsky,10
2,6,100,mf_Bohachevsky,10
3,8,100,mf_Bohachevsky,10
4,10,100,mf_Bohachevsky,10
5,12,100,mf_Bohachevsky,10
6,14,100,mf_Bohachevsky,10
7,16,100,mf_Bohachevsky,10
8,18,100,mf_Bohachevsky,10
9,20,100,mf_Bohachevsky,10
10,2,100,mf_Bohachevsky,11
11,4,100,mf_Bohachevsky,11
12,6,100,mf_Bohachevsky,11
13,8,100,mf_Bohachevsky,11
14,10,100,mf_Bohachevsky,11
15,12,100,mf_Bohachevsky,11
16,14,100,mf_Bohachevsky,11
17,16,100,mf_Bohachevsky,11
18,18,100,mf_Bohachevsky,11
19,20,100,mf_Bohachevsky,11
20,2,100,mf_Bohachevsky,12
21,4,100,mf_Bohachevsky,12
22,6,100,mf_Bohachevsky,12
23,8,100,mf_Bohachevsky,12
24,10,100,mf_Bohachevsky,12
25,12,100,mf_Bohachevsky,12
26,14,100,mf_Bohachevsky,12
27,16,100,mf_Bohachevsky,12
28,18,100,mf_Bohachevsky,12
29,20,100,mf_Bohachevsky,12
30,2,100,mf_Bohachevsky,13
31,4,100,mf_Bohachevsky,13
32,6,100,mf_Bohachevsky,13
33,8,100,mf_Bohachevsky,13
34,10,100,mf_Bohachevsky,13
35,12,100,mf_Bohachevsky,13
36,14,100,mf_Bohachevsky,13
37,16,100,mf_Bohachevsky,13
38,18,100,mf_Bohachevsky,13
39,20,100,mf_Bohachevsky,13
40,2,100,mf_Bohachevsky,14
41,4,100,mf_Bohachevsky,14
42,6,100,mf_Bohachevsky,14
43,8,100,mf_Bohachevsky,14
44,10,100,mf_Bohachevsky,14
45,12,100,mf_Bohachevsky,14
46,14,100,mf_Bohachevsky,14
47,16,100,mf_Bohachevsky,14
48,18,100,mf_Bohachevsky,14
49,20,100,mf_Bohachevsky,14
50,2,100,mf_Bohachevsky,15
51,4,100,mf_Bohachevsky,15
52,6,100,mf_Bohachevsky,15
53,8,100,mf_Bohachevsky,15
54,10,100,mf_Bohachevsky,15
55,12,100,mf_Bohachevsky,15
56,14,100,mf_Bohachevsky,15
57,16,100,mf_Bohachevsky,15
58,18,100,mf_Bohachevsky,15
59,20,100,mf_Bohachevsky,15
60,2,100,mf_Bohachevsky,16
61,4,100,mf_Bohachevsky,16
62,6,100,mf_Bohachevsky,16
63,8,100,mf_Bohachevsky,16
64,10,100,mf_Bohachevsky,16
65,12,100,mf_Bohachevsky,16
66,14,100,mf_Bohachevsky,16
67,16,100,mf_Bohachevsky,16
68,18,100,mf_Bohachevsky,16
69,20,100,mf_Bohachevsky,16
70,2,100,mf_Bohachevsky,17
71,4,100,mf_Bohachevsky,17
72,6,100,mf_Bohachevsky,17
73,8,100,mf_Bohachevsky,17
74,10,100,mf_Bohachevsky,17
75,12,100,mf_Bohachevsky,17
76,14,100,mf_Bohachevsky,17
77,16,100,mf_Bohachevsky,17
78,18,100,mf_Bohachevsky,17
79,20,100,mf_Bohachevsky,17
80,2,100,mf_Bohachevsky,18
81,4,100,mf_Bohachevsky,18
82,6,100,mf_Bohachevsky,18
83,8,100,mf_Bohachevsky,18
84,10,100,mf_Bohachevsky,18
85,12,100,mf_Bohachevsky,18
86,14,100,mf_Bohachevsky,18
87,16,100,mf_Bohachevsky,18
88,18,100,mf_Bohachevsky,18
89,20,100,mf_Bohachevsky,18
90,2,100,mf_Bohachevsky,19
91,4,100,mf_Bohachevsky,19
92,6,100,mf_Bohachevsky,19
93,8,100,mf_Bohachevsky,19
94,10,100,mf_Bohachevsky,19
95,12,100,mf_Bohachevsky,19
96,14,100,mf_Bohachevsky,19
97,16,100,mf_Bohachevsky,19
98,18,100,mf_Bohachevsky,19
99,20,100,mf_Bohachevsky,19
100,2,100,mf_Booth,10
101,4,100,mf_Booth,10
102,6,100,mf_Booth,10
103,8,100,mf_Booth,10
104,10,100,mf_Booth,10
105,12,100,mf_Booth,10
106,14,100,mf_Booth,10
107,16,100,mf_Booth,10
108,18,100,mf_Booth,10
109,20,100,mf_Booth,10
110,2,100,mf_Booth,11
111,4,100,mf_Booth,11
112,6,100,mf_Booth,11
113,8,100,mf_Booth,11
114,10,100,mf_Booth,11
115,12,100,mf_Booth,11
116,14,100,mf_Booth,11
117,16,100,mf_Booth,11
118,18,100,mf_Booth,11
119,20,100,mf_Booth,11
120,2,100,mf_Booth,12
121,4,100,mf_Booth,12
122,6,100,mf_Booth,12
123,8,100,mf_Booth,12
124,10,100,mf_Booth,12
125,12,100,mf_Booth,12
126,14,100,mf_Booth,12
127,16,100,mf_Booth,12
128,18,100,mf_Booth,12
129,20,100,mf_Booth,12
130,2,100,mf_Booth,13
131,4,100,mf_Booth,13
132,6,100,mf_Booth,13
133,8,100,mf_Booth,13
134,10,100,mf_Booth,13
135,12,100,mf_Booth,13
136,14,100,mf_Booth,13
137,16,100,mf_Booth,13
138,18,100,mf_Booth,13
139,20,100,mf_Booth,13
140,2,100,mf_Booth,14
141,4,100,mf_Booth,14
142,6,100,mf_Booth,14
143,8,100,mf_Booth,14
144,10,100,mf_Booth,14
145,12,100,mf_Booth,14
146,14,100,mf_Booth,14
147,16,100,mf_Booth,14
148,18,100,mf_Booth,14
149,20,100,mf_Booth,14
150,2,100,mf_Booth,15
151,4,100,mf_Booth,15
152,6,100,mf_Booth,15
153,8,100,mf_Booth,15
154,10,100,mf_Booth,15
155,12,100,mf_Booth,15
156,14,100,mf_Booth,15
157,16,100,mf_Booth,15
158,18,100,mf_Booth,15
159,20,100,mf_Booth,15
160,2,100,mf_Booth,16
161,4,100,mf_Booth,16
162,6,100,mf_Booth,16
163,8,100,mf_Booth,16
164,10,100,mf_Booth,16
165,12,100,mf_Booth,16
166,14,100,mf_Booth,16
167,16,100,mf_Booth,16
168,18,100,mf_Booth,16
169,20,100,mf_Booth,16
170,2,100,mf_Booth,17
171,4,100,mf_Booth,17
172,6,100,mf_Booth,17
173,8,100,mf_Booth,17
174,10,100,mf_Booth,17
175,12,100,mf_Booth,17
176,14,100,mf_Booth,17
177,16,100,mf_Booth,17
178,18,100,mf_Booth,17
179,20,100,mf_Booth,17
180,2,100,mf_Booth,18
181,4,100,mf_Booth,18
182,6,100,mf_Booth,18
183,8,100,mf_Booth,18
184,10,100,mf_Booth,18
185,12,100,mf_Booth,18
186,14,100,mf_Booth,18
187,16,100,mf_Booth,18
188,18,100,mf_Booth,18
189,20,100,mf_Booth,18
190,2,100,mf_Booth,19
191,4,100,mf_Booth,19
192,6,100,mf_Booth,19
193,8,100,mf_Booth,19
194,10,100,mf_Booth,19
195,12,100,mf_Booth,19
196,14,100,mf_Booth,19
197,16,100,mf_Booth,19
198,18,100,mf_Booth,19
199,20,100,mf_Booth,19
200,2,100,mf_Borehole,10
201,4,100,mf_Borehole,10
202,6,100,mf_Borehole,10
203,8,100,mf_Borehole,10
204,10,100,mf_Borehole,10
205,12,100,mf_Borehole,10
206,14,100,mf_Borehole,10
207,16,100,mf_Borehole,10
208,18,100,mf_Borehole,10
209,20,100,mf_Borehole,10
210,2,100,mf_Borehole,11
211,4,100,mf_Borehole,11
212,6,100,mf_Borehole,11
213,8,100,mf_Borehole,11
214,10,100,mf_Borehole,11
215,12,100,mf_Borehole,11
216,14,100,mf_Borehole,11
217,16,100,mf_Borehole,11
218,18,100,mf_Borehole,11
219,20,100,mf_Borehole,11
220,2,100,mf_Borehole,12
221,4,100,mf_Borehole,12
222,6,100,mf_Borehole,12
223,8,100,mf_Borehole,12
224,10,100,mf_Borehole,12
225,12,100,mf_Borehole,12
226,14,100,mf_Borehole,12
227,16,100,mf_Borehole,12
228,18,100,mf_Borehole,12
229,20,100,mf_Borehole,12
230,2,100,mf_Borehole,13
231,4,100,mf_Borehole,13
232,6,100,mf_Borehole,13
233,8,100,mf_Borehole,13
234,10,100,mf_Borehole,13
235,12,100,mf_Borehole,13
236,14,100,mf_Borehole,13
237,16,100,mf_Borehole,13
238,18,100,mf_Borehole,13
239,20,100,mf_Borehole,13
240,2,100,mf_Borehole,14
241,4,100,mf_Borehole,14
242,6,100,mf_Borehole,14
243,8,100,mf_Borehole,14
244,10,100,mf_Borehole,14
245,12,100,mf_Borehole,14
246,14,100,mf_Borehole,14
247,16,100,mf_Borehole,14
248,18,100,mf_Borehole,14
249,20,100,mf_Borehole,14
250,2,100,mf_Borehole,15
251,4,100,mf_Borehole,15
252,6,100,mf_Borehole,15
253,8,100,mf_Borehole,15
254,10,100,mf_Borehole,15
255,12,100,mf_Borehole,15
256,14,100,mf_Borehole,15
257,16,100,mf_Borehole,15
258,18,100,mf_Borehole,15
259,20,100,mf_Borehole,15
260,2,100,mf_Borehole,16
261,4,100,mf_Borehole,16
262,6,100,mf_Borehole,16
263,8,100,mf_Borehole,16
264,10,100,mf_Borehole,16
265,12,100,mf_Borehole,16
266,14,100,mf_Borehole,16
267,16,100,mf_Borehole,16
268,18,100,mf_Borehole,16
269,20,100,mf_Borehole,16
270,2,100,mf_Borehole,17
271,4,100,mf_Borehole,17
272,6,100,mf_Borehole,17
273,8,100,mf_Borehole,17
274,10,100,mf_Borehole,17
275,12,100,mf_Borehole,17
276,14,100,mf_Borehole,17
277,16,100,mf_Borehole,17
278,18,100,mf_Borehole,17
279,20,100,mf_Borehole,17
280,2,100,mf_Borehole,18
281,4,100,mf_Borehole,18
282,6,100,mf_Borehole,18
283,8,100,mf_Borehole,18
284,10,100,mf_Borehole,18
285,12,100,mf_Borehole,18
286,14,100,mf_Borehole,18
287,16,100,mf_Borehole,18
288,18,100,mf_Borehole,18
289,20,100,mf_Borehole,18
290,2,100,mf_Borehole,19
291,4,100,mf_Borehole,19
292,6,100,mf_Borehole,19
293,8,100,mf_Borehole,19
294,10,100,mf_Borehole,19
295,12,100,mf_Borehole,19
296,14,100,mf_Borehole,19
297,16,100,mf_Borehole,19
298,18,100,mf_Borehole,19
299,20,100,mf_Borehole,19
300,2,100,mf_CurrinExp,10
301,4,100,mf_CurrinExp,10
302,6,100,mf_CurrinExp,10
303,8,100,mf_CurrinExp,10
304,10,100,mf_CurrinExp,10
305,12,100,mf_CurrinExp,10
306,14,100,mf_CurrinExp,10
307,16,100,mf_CurrinExp,10
308,18,100,mf_CurrinExp,10
309,20,100,mf_CurrinExp,10
310,2,100,mf_CurrinExp,11
311,4,100,mf_CurrinExp,11
312,6,100,mf_CurrinExp,11
313,8,100,mf_CurrinExp,11
314,10,100,mf_CurrinExp,11
315,12,100,mf_CurrinExp,11
316,14,100,mf_CurrinExp,11
317,16,100,mf_CurrinExp,11
318,18,100,mf_CurrinExp,11
319,20,100,mf_CurrinExp,11
320,2,100,mf_CurrinExp,12
321,4,100,mf_CurrinExp,12
322,6,100,mf_CurrinExp,12
323,8,100,mf_CurrinExp,12
324,10,100,mf_CurrinExp,12
325,12,100,mf_CurrinExp,12
326,14,100,mf_CurrinExp,12
327,16,100,mf_CurrinExp,12
328,18,100,mf_CurrinExp,12
329,20,100,mf_CurrinExp,12
330,2,100,mf_CurrinExp,13
331,4,100,mf_CurrinExp,13
332,6,100,mf_CurrinExp,13
333,8,100,mf_CurrinExp,13
334,10,100,mf_CurrinExp,13
335,12,100,mf_CurrinExp,13
336,14,100,mf_CurrinExp,13
337,16,100,mf_CurrinExp,13
338,18,100,mf_CurrinExp,13
339,20,100,mf_CurrinExp,13
340,2,100,mf_CurrinExp,14
341,4,100,mf_CurrinExp,14
342,6,100,mf_CurrinExp,14
343,8,100,mf_CurrinExp,14
344,10,100,mf_CurrinExp,14
345,12,100,mf_CurrinExp,14
346,14,100,mf_CurrinExp,14
347,16,100,mf_CurrinExp,14
348,18,100,mf_CurrinExp,14
349,20,100,mf_CurrinExp,14
350,2,100,mf_CurrinExp,15
351,4,100,mf_CurrinExp,15
352,6,100,mf_CurrinExp,15
353,8,100,mf_CurrinExp,15
354,10,100,mf_CurrinExp,15
355,12,100,mf_CurrinExp,15
356,14,100,mf_CurrinExp,15
357,16,100,mf_CurrinExp,15
358,18,100,mf_CurrinExp,15
359,20,100,mf_CurrinExp,15
360,2,100,mf_CurrinExp,16
361,4,100,mf_CurrinExp,16
362,6,100,mf_CurrinExp,16
363,8,100,mf_CurrinExp,16
364,10,100,mf_CurrinExp,16
365,12,100,mf_CurrinExp,16
366,14,100,mf_CurrinExp,16
367,16,100,mf_CurrinExp,16
368,18,100,mf_CurrinExp,16
369,20,100,mf_CurrinExp,16
370,2,100,mf_CurrinExp,17
371,4,100,mf_CurrinExp,17
372,6,100,mf_CurrinExp,17
373,8,100,mf_CurrinExp,17
374,10,100,mf_CurrinExp,17
375,12,100,mf_CurrinExp,17
376,14,100,mf_CurrinExp,17
377,16,100,mf_CurrinExp,17
378,18,100,mf_CurrinExp,17
379,20,100,mf_CurrinExp,17
380,2,100,mf_CurrinExp,18
381,4,100,mf_CurrinExp,18
382,6,100,mf_CurrinExp,18
383,8,100,mf_CurrinExp,18
384,10,100,mf_CurrinExp,18
385,12,100,mf_CurrinExp,18
386,14,100,mf_CurrinExp,18
387,16,100,mf_CurrinExp,18
388,18,100,mf_CurrinExp,18
389,20,100,mf_CurrinExp,18
390,2,100,mf_CurrinExp,19
391,4,100,mf_CurrinExp,19
392,6,100,mf_CurrinExp,19
393,8,100,mf_CurrinExp,19
394,10,100,mf_CurrinExp,19
395,12,100,mf_CurrinExp,19
396,14,100,mf_CurrinExp,19
397,16,100,mf_CurrinExp,19
398,18,100,mf_CurrinExp,19
399,20,100,mf_CurrinExp,19
400,2,100,mf_Hartman3,10
401,4,100,mf_Hartman3,10
402,6,100,mf_Hartman3,10
403,8,100,mf_Hartman3,10
404,10,100,mf_Hartman3,10
405,12,100,mf_Hartman3,10
406,14,100,mf_Hartman3,10
407,16,100,mf_Hartman3,10
408,18,100,mf_Hartman3,10
409,20,100,mf_Hartman3,10
410,2,100,mf_Hartman3,11
411,4,100,mf_Hartman3,11
412,6,100,mf_Hartman3,11
413,8,100,mf_Hartman3,11
414,10,100,mf_Hartman3,11
415,12,100,mf_Hartman3,11
416,14,100,mf_Hartman3,11
417,16,100,mf_Hartman3,11
418,18,100,mf_Hartman3,11
419,20,100,mf_Hartman3,11
420,2,100,mf_Hartman3,12
421,4,100,mf_Hartman3,12
422,6,100,mf_Hartman3,12
423,8,100,mf_Hartman3,12
424,10,100,mf_Hartman3,12
425,12,100,mf_Hartman3,12
426,14,100,mf_Hartman3,12
427,16,100,mf_Hartman3,12
428,18,100,mf_Hartman3,12
429,20,100,mf_Hartman3,12
430,2,100,mf_Hartman3,13
431,4,100,mf_Hartman3,13
432,6,100,mf_Hartman3,13
433,8,100,mf_Hartman3,13
434,10,100,mf_Hartman3,13
435,12,100,mf_Hartman3,13
436,14,100,mf_Hartman3,13
437,16,100,mf_Hartman3,13
438,18,100,mf_Hartman3,13
439,20,100,mf_Hartman3,13
440,2,100,mf_Hartman3,14
441,4,100,mf_Hartman3,14
442,6,100,mf_Hartman3,14
443,8,100,mf_Hartman3,14
444,10,100,mf_Hartman3,14
445,12,100,mf_Hartman3,14
446,14,100,mf_Hartman3,14
447,16,100,mf_Hartman3,14
448,18,100,mf_Hartman3,14
449,20,100,mf_Hartman3,14
450,2,100,mf_Hartman3,15
451,4,100,mf_Hartman3,15
452,6,100,mf_Hartman3,15
453,8,100,mf_Hartman3,15
454,10,100,mf_Hartman3,15
455,12,100,mf_Hartman3,15
456,14,100,mf_Hartman3,15
457,16,100,mf_Hartman3,15
458,18,100,mf_Hartman3,15
459,20,100,mf_Hartman3,15
460,2,100,mf_Hartman3,16
461,4,100,mf_Hartman3,16
462,6,100,mf_Hartman3,16
463,8,100,mf_Hartman3,16
464,10,100,mf_Hartman3,16
465,12,100,mf_Hartman3,16
466,14,100,mf_Hartman3,16
467,16,100,mf_Hartman3,16
468,18,100,mf_Hartman3,16
469,20,100,mf_Hartman3,16
470,2,100,mf_Hartman3,17
471,4,100,mf_Hartman3,17
472,6,100,mf_Hartman3,17
473,8,100,mf_Hartman3,17
474,10,100,mf_Hartman3,17
475,12,100,mf_Hartman3,17
476,14,100,mf_Hartman3,17
477,16,100,mf_Hartman3,17
478,18,100,mf_Hartman3,17
479,20,100,mf_Hartman3,17
480,2,100,mf_Hartman3,18
481,4,100,mf_Hartman3,18
482,6,100,mf_Hartman3,18
483,8,100,mf_Hartman3,18
484,10,100,mf_Hartman3,18
485,12,100,mf_Hartman3,18
486,14,100,mf_Hartman3,18
487,16,100,mf_Hartman3,18
488,18,100,mf_Hartman3,18
489,20,100,mf_Hartman3,18
490,2,100,mf_Hartman3,19
491,4,100,mf_Hartman3,19
492,6,100,mf_Hartman3,19
493,8,100,mf_Hartman3,19
494,10,100,mf_Hartman3,19
495,12,100,mf_Hartman3,19
496,14,100,mf_Hartman3,19
497,16,100,mf_Hartman3,19
498,18,100,mf_Hartman3,19
499,20,100,mf_Hartman3,19
500,2,100,mf_Hartman6,10
501,4,100,mf_Hartman6,10
502,6,100,mf_Hartman6,10
503,8,100,mf_Hartman6,10
504,10,100,mf_Hartman6,10
505,12,100,mf_Hartman6,10
506,14,100,mf_Hartman6,10
507,16,100,mf_Hartman6,10
508,18,100,mf_Hartman6,10
509,20,100,mf_Hartman6,10
510,2,100,mf_Hartman6,11
511,4,100,mf_Hartman6,11
512,6,100,mf_Hartman6,11
513,8,100,mf_Hartman6,11
514,10,100,mf_Hartman6,11
515,12,100,mf_Hartman6,11
516,14,100,mf_Hartman6,11
517,16,100,mf_Hartman6,11
518,18,100,mf_Hartman6,11
519,20,100,mf_Hartman6,11
520,2,100,mf_Hartman6,12
521,4,100,mf_Hartman6,12
522,6,100,mf_Hartman6,12
523,8,100,mf_Hartman6,12
524,10,100,mf_Hartman6,12
525,12,100,mf_Hartman6,12
526,14,100,mf_Hartman6,12
527,16,100,mf_Hartman6,12
528,18,100,mf_Hartman6,12
529,20,100,mf_Hartman6,12
530,2,100,mf_Hartman6,13
531,4,100,mf_Hartman6,13
532,6,100,mf_Hartman6,13
533,8,100,mf_Hartman6,13
534,10,100,mf_Hartman6,13
535,12,100,mf_Hartman6,13
536,14,100,mf_Hartman6,13
537,16,100,mf_Hartman6,13
538,18,100,mf_Hartman6,13
539,20,100,mf_Hartman6,13
540,2,100,mf_Hartman6,14
541,4,100,mf_Hartman6,14
542,6,100,mf_Hartman6,14
543,8,100,mf_Hartman6,14
544,10,100,mf_Hartman6,14
545,12,100,mf_Hartman6,14
546,14,100,mf_Hartman6,14
547,16,100,mf_Hartman6,14
548,18,100,mf_Hartman6,14
549,20,100,mf_Hartman6,14
550,2,100,mf_Hartman6,15
551,4,100,mf_Hartman6,15
552,6,100,mf_Hartman6,15
553,8,100,mf_Hartman6,15
554,10,100,mf_Hartman6,15
555,12,100,mf_Hartman6,15
556,14,100,mf_Hartman6,15
557,16,100,mf_Hartman6,15
558,18,100,mf_Hartman6,15
559,20,100,mf_Hartman6,15
560,2,100,mf_Hartman6,16
561,4,100,mf_Hartman6,16
562,6,100,mf_Hartman6,16
563,8,100,mf_Hartman6,16
564,10,100,mf_Hartman6,16
565,12,100,mf_Hartman6,16
566,14,100,mf_Hartman6,16
567,16,100,mf_Hartman6,16
568,18,100,mf_Hartman6,16
569,20,100,mf_Hartman6,16
570,2,100,mf_Hartman6,17
571,4,100,mf_Hartman6,17
572,6,100,mf_Hartman6,17
573,8,100,mf_Hartman6,17
574,10,100,mf_Hartman6,17
575,12,100,mf_Hartman6,17
576,14,100,mf_Hartman6,17
577,16,100,mf_Hartman6,17
578,18,100,mf_Hartman6,17
579,20,100,mf_Hartman6,17
580,2,100,mf_Hartman6,18
581,4,100,mf_Hartman6,18
582,6,100,mf_Hartman6,18
583,8,100,mf_Hartman6,18
584,10,100,mf_Hartman6,18
585,12,100,mf_Hartman6,18
586,14,100,mf_Hartman6,18
587,16,100,mf_Hartman6,18
588,18,100,mf_Hartman6,18
589,20,100,mf_Hartman6,18
590,2,100,mf_Hartman6,19
591,4,100,mf_Hartman6,19
592,6,100,mf_Hartman6,19
593,8,100,mf_Hartman6,19
594,10,100,mf_Hartman6,19
595,12,100,mf_Hartman6,19
596,14,100,mf_Hartman6,19
597,16,100,mf_Hartman6,19
598,18,100,mf_Hartman6,19
599,20,100,mf_Hartman6,19
600,2,100,mf_Park91A,10
601,4,100,mf_Park91A,10
602,6,100,mf_Park91A,10
603,8,100,mf_Park91A,10
604,10,100,mf_Park91A,10
605,12,100,mf_Park91A,10
606,14,100,mf_Park91A,10
607,16,100,mf_Park91A,10
608,18,100,mf_Park91A,10
609,20,100,mf_Park91A,10
610,2,100,mf_Park91A,11
611,4,100,mf_Park91A,11
612,6,100,mf_Park91A,11
613,8,100,mf_Park91A,11
614,10,100,mf_Park91A,11
615,12,100,mf_Park91A,11
616,14,100,mf_Park91A,11
617,16,100,mf_Park91A,11
618,18,100,mf_Park91A,11
619,20,100,mf_Park91A,11
620,2,100,mf_Park91A,12
621,4,100,mf_Park91A,12
622,6,100,mf_Park91A,12
623,8,100,mf_Park91A,12
624,10,100,mf_Park91A,12
625,12,100,mf_Park91A,12
626,14,100,mf_Park91A,12
627,16,100,mf_Park91A,12
628,18,100,mf_Park91A,12
629,20,100,mf_Park91A,12
630,2,100,mf_Park91A,13
631,4,100,mf_Park91A,13
632,6,100,mf_Park91A,13
633,8,100,mf_Park91A,13
634,10,100,mf_Park91A,13
635,12,100,mf_Park91A,13
636,14,100,mf_Park91A,13
637,16,100,mf_Park91A,13
638,18,100,mf_Park91A,13
639,20,100,mf_Park91A,13
640,2,100,mf_Park91A,14
641,4,100,mf_Park91A,14
642,6,100,mf_Park91A,14
643,8,100,mf_Park91A,14
644,10,100,mf_Park91A,14
645,12,100,mf_Park91A,14
646,14,100,mf_Park91A,14
647,16,100,mf_Park91A,14
648,18,100,mf_Park91A,14
649,20,100,mf_Park91A,14
650,2,100,mf_Park91A,15
651,4,100,mf_Park91A,15
652,6,100,mf_Park91A,15
653,8,100,mf_Park91A,15
654,10,100,mf_Park91A,15
655,12,100,mf_Park91A,15
656,14,100,mf_Park91A,15
657,16,100,mf_Park91A,15
658,18,100,mf_Park91A,15
659,20,100,mf_Park91A,15
660,2,100,mf_Park91A,16
661,4,100,mf_Park91A,16
662,6,100,mf_Park91A,16
663,8,100,mf_Park91A,16
664,10,100,mf_Park91A,16
665,12,100,mf_Park91A,16
666,14,100,mf_Park91A,16
667,16,100,mf_Park91A,16
668,18,100,mf_Park91A,16
669,20,100,mf_Park91A,16
670,2,100,mf_Park91A,17
671,4,100,mf_Park91A,17
672,6,100,mf_Park91A,17
