,method,num_hf,num_lf,problem,seed
0,mf_rbf,10,30,mf_Bohachevsky,1
1,mf_rbf,10,50,mf_Bohachevsky,1
2,mf_rbf,10,100,mf_Bohachevsky,1
3,mf_rbf,10,30,mf_Bohachevsky,2
4,mf_rbf,10,50,mf_Bohachevsky,2
5,mf_rbf,10,100,mf_Bohachevsky,2
6,mf_rbf,10,30,mf_Bohachevsky,3
7,mf_rbf,10,50,mf_Bohachevsky,3
8,mf_rbf,10,100,mf_Bohachevsky,3
9,mf_rbf,10,30,mf_Bohachevsky,4
10,mf_rbf,10,50,mf_Bohachevsky,4
11,mf_rbf,10,100,mf_Bohachevsky,4
12,mf_rbf,10,30,mf_Bohachevsky,5
13,mf_rbf,10,50,mf_Bohachevsky,5
14,mf_rbf,10,100,mf_Bohachevsky,5
15,mf_rbf,10,30,mf_Bohachevsky,6
16,mf_rbf,10,50,mf_Bohachevsky,6
17,mf_rbf,10,100,mf_Bohachevsky,6
18,mf_rbf,10,30,mf_Bohachevsky,7
19,mf_rbf,10,50,mf_Bohachevsky,7
20,mf_rbf,10,100,mf_Bohachevsky,7
21,mf_rbf,10,30,mf_Bohachevsky,8
22,mf_rbf,10,50,mf_Bohachevsky,8
23,mf_rbf,10,100,mf_Bohachevsky,8
24,mf_rbf,10,30,mf_Bohachevsky,9
25,mf_rbf,10,50,mf_Bohachevsky,9
26,mf_rbf,10,100,mf_Bohachevsky,9
27,mf_rbf,10,30,mf_Bohachevsky,10
28,mf_rbf,10,50,mf_Bohachevsky,10
29,mf_rbf,10,100,mf_Bohachevsky,10
30,mf_rbf,10,30,mf_Bohachevsky,11
31,mf_rbf,10,50,mf_Bohachevsky,11
32,mf_rbf,10,100,mf_Bohachevsky,11
33,mf_rbf,10,30,mf_Bohachevsky,12
34,mf_rbf,10,50,mf_Bohachevsky,12
35,mf_rbf,10,100,mf_Bohachevsky,12
36,mf_rbf,10,30,mf_Bohachevsky,13
37,mf_rbf,10,50,mf_Bohachevsky,13
38,mf_rbf,10,100,mf_Bohachevsky,13
39,mf_rbf,10,30,mf_Bohachevsky,14
40,mf_rbf,10,50,mf_Bohachevsky,14
41,mf_rbf,10,100,mf_Bohachevsky,14
42,mf_rbf,10,30,mf_Bohachevsky,15
43,mf_rbf,10,50,mf_Bohachevsky,15
44,mf_rbf,10,100,mf_Bohachevsky,15
45,mf_rbf,10,30,mf_Bohachevsky,16
46,mf_rbf,10,50,mf_Bohachevsky,16
47,mf_rbf,10,100,mf_Bohachevsky,16
48,mf_rbf,10,30,mf_Bohachevsky,17
49,mf_rbf,10,50,mf_Bohachevsky,17
50,mf_rbf,10,100,mf_Bohachevsky,17
51,mf_rbf,10,30,mf_Bohachevsky,18
52,mf_rbf,10,50,mf_Bohachevsky,18
53,mf_rbf,10,100,mf_Bohachevsky,18
54,mf_rbf,10,30,mf_Bohachevsky,19
55,mf_rbf,10,50,mf_Bohachevsky,19
56,mf_rbf,10,100,mf_Bohachevsky,19
57,mf_rbf,10,30,mf_Bohachevsky,20
58,mf_rbf,10,50,mf_Bohachevsky,20
59,mf_rbf,10,100,mf_Bohachevsky,20
60,mf_rbf,10,30,mf_Bohachevsky,21
61,mf_rbf,10,50,mf_Bohachevsky,21
62,mf_rbf,10,100,mf_Bohachevsky,21
63,mf_rbf,10,30,mf_Bohachevsky,22
64,mf_rbf,10,50,mf_Bohachevsky,22
65,mf_rbf,10,100,mf_Bohachevsky,22
66,mf_rbf,10,30,mf_Bohachevsky,23
67,mf_rbf,10,50,mf_Bohachevsky,23
68,mf_rbf,10,100,mf_Bohachevsky,23
69,mf_rbf,10,30,mf_Bohachevsky,24
70,mf_rbf,10,50,mf_Bohachevsky,24
71,mf_rbf,10,100,mf_Bohachevsky,24
72,mf_rbf,10,30,mf_Bohachevsky,25
73,mf_rbf,10,50,mf_Bohachevsky,25
74,mf_rbf,10,100,mf_Bohachevsky,25
75,mf_rbf,10,30,mf_Bohachevsky,26
76,mf_rbf,10,50,mf_Bohachevsky,26
77,mf_rbf,10,100,mf_Bohachevsky,26
78,mf_rbf,10,30,mf_Bohachevsky,27
79,mf_rbf,10,50,mf_Bohachevsky,27
80,mf_rbf,10,100,mf_Bohachevsky,27
81,mf_rbf,10,30,mf_Bohachevsky,28
82,mf_rbf,10,50,mf_Bohachevsky,28
83,mf_rbf,10,100,mf_Bohachevsky,28
84,mf_rbf,10,30,mf_Bohachevsky,29
85,mf_rbf,10,50,mf_Bohachevsky,29
86,mf_rbf,10,100,mf_Bohachevsky,29
87,mf_rbf,10,30,mf_Bohachevsky,30
88,mf_rbf,10,50,mf_Bohachevsky,30
89,mf_rbf,10,100,mf_Bohachevsky,30
90,mf_rbf,10,30,mf_Booth,1
91,mf_rbf,10,50,mf_Booth,1
92,mf_rbf,10,100,mf_Booth,1
93,mf_rbf,10,30,mf_Booth,2
94,mf_rbf,10,50,mf_Booth,2
95,mf_rbf,10,100,mf_Booth,2
96,mf_rbf,10,30,mf_Booth,3
97,mf_rbf,10,50,mf_Booth,3
