,method,num_hf,num_lf,problem,seed
0,ck,2,25,Forrester_1a,1
1,ck,4,25,Forrester_1a,1
2,ck,6,25,Forrester_1a,1
3,ck,8,25,Forrester_1a,1
4,ck,10,25,Forrester_1a,1
5,ck,12,25,Forrester_1a,1
6,ck,14,25,Forrester_1a,1
7,ck,16,25,Forrester_1a,1
8,ck,18,25,Forrester_1a,1
9,ck,20,25,Forrester_1a,1
10,ck,2,30,Forrester_1a,1
11,ck,4,30,Forrester_1a,1
12,ck,6,30,Forrester_1a,1
13,ck,8,30,Forrester_1a,1
14,ck,10,30,Forrester_1a,1
15,ck,12,30,Forrester_1a,1
16,ck,14,30,Forrester_1a,1
17,ck,16,30,Forrester_1a,1
18,ck,18,30,Forrester_1a,1
19,ck,20,30,Forrester_1a,1
20,ck,2,35,Forrester_1a,1
21,ck,4,35,Forrester_1a,1
22,ck,6,35,Forrester_1a,1
23,ck,8,35,Forrester_1a,1
24,ck,10,35,Forrester_1a,1
25,ck,12,35,Forrester_1a,1
26,ck,14,35,Forrester_1a,1
27,ck,16,35,Forrester_1a,1
28,ck,18,35,Forrester_1a,1
29,ck,20,35,Forrester_1a,1
30,ck,2,40,Forrester_1a,1
31,ck,4,40,Forrester_1a,1
32,ck,6,40,Forrester_1a,1
33,ck,8,40,Forrester_1a,1
34,ck,10,40,Forrester_1a,1
35,ck,12,40,Forrester_1a,1
36,ck,14,40,Forrester_1a,1
37,ck,16,40,Forrester_1a,1
38,ck,18,40,Forrester_1a,1
39,ck,20,40,Forrester_1a,1
40,ck,2,45,Forrester_1a,1
41,ck,4,45,Forrester_1a,1
42,ck,6,45,Forrester_1a,1
43,ck,8,45,Forrester_1a,1
44,ck,10,45,Forrester_1a,1
45,ck,12,45,Forrester_1a,1
46,ck,14,45,Forrester_1a,1
47,ck,16,45,Forrester_1a,1
48,ck,18,45,Forrester_1a,1
49,ck,20,45,Forrester_1a,1
50,ck,2,50,Forrester_1a,1
51,ck,4,50,Forrester_1a,1
52,ck,6,50,Forrester_1a,1
53,ck,8,50,Forrester_1a,1
54,ck,10,50,Forrester_1a,1
55,ck,12,50,Forrester_1a,1
56,ck,14,50,Forrester_1a,1
57,ck,16,50,Forrester_1a,1
58,ck,18,50,Forrester_1a,1
59,ck,20,50,Forrester_1a,1
60,ck,2,55,Forrester_1a,1
61,ck,4,55,Forrester_1a,1
62,ck,6,55,Forrester_1a,1
63,ck,8,55,Forrester_1a,1
64,ck,10,55,Forrester_1a,1
65,ck,12,55,Forrester_1a,1
66,ck,14,55,Forrester_1a,1
