,method,num_hf,num_lf,problem,seed
0,hk,2,25,Forrester_1a,1
1,hk,4,25,Forrester_1a,1
2,hk,6,25,Forrester_1a,1
3,hk,8,25,Forrester_1a,1
4,hk,10,25,Forrester_1a,1
5,hk,12,25,Forrester_1a,1
6,hk,14,25,Forrester_1a,1
7,hk,16,25,Forrester_1a,1
8,hk,18,25,Forrester_1a,1
9,hk,20,25,Forrester_1a,1
10,hk,2,30,Forrester_1a,1
11,hk,4,30,Forrester_1a,1
12,hk,6,30,Forrester_1a,1
13,hk,8,30,Forrester_1a,1
14,hk,10,30,Forrester_1a,1
15,hk,12,30,Forrester_1a,1
16,hk,14,30,Forrester_1a,1
17,hk,16,30,Forrester_1a,1
18,hk,18,30,Forrester_1a,1
19,hk,20,30,Forrester_1a,1
20,hk,2,35,Forrester_1a,1
21,hk,4,35,Forrester_1a,1
22,hk,6,35,Forrester_1a,1
23,hk,8,35,Forrester_1a,1
24,hk,10,35,Forrester_1a,1
25,hk,12,35,Forrester_1a,1
26,hk,14,35,Forrester_1a,1
27,hk,16,35,Forrester_1a,1
28,hk,18,35,Forrester_1a,1
29,hk,20,35,Forrester_1a,1
30,hk,2,40,Forrester_1a,1
31,hk,4,40,Forrester_1a,1
32,hk,6,40,Forrester_1a,1
33,hk,8,40,Forrester_1a,1
34,hk,10,40,Forrester_1a,1
35,hk,12,40,Forrester_1a,1
36,hk,14,40,Forrester_1a,1
37,hk,16,40,Forrester_1a,1
38,hk,18,40,Forrester_1a,1
39,hk,20,40,Forrester_1a,1
40,hk,2,45,Forrester_1a,1
41,hk,4,45,Forrester_1a,1
42,hk,6,45,Forrester_1a,1
43,hk,8,45,Forrester_1a,1
44,hk,10,45,Forrester_1a,1
45,hk,12,45,Forrester_1a,1
46,hk,14,45,Forrester_1a,1
47,hk,16,45,Forrester_1a,1
48,hk,18,45,Forrester_1a,1
49,hk,20,45,Forrester_1a,1
50,hk,2,50,Forrester_1a,1
51,hk,4,50,Forrester_1a,1
52,hk,6,50,Forrester_1a,1
53,hk,8,50,Forrester_1a,1
54,hk,10,50,Forrester_1a,1
55,hk,12,50,Forrester_1a,1
56,hk,14,50,Forrester_1a,1
57,hk,16,50,Forrester_1a,1
58,hk,18,50,Forrester_1a,1
59,hk,20,50,Forrester_1a,1
60,hk,2,55,Forrester_1a,1
61,hk,4,55,Forrester_1a,1
62,hk,6,55,Forrester_1a,1
63,hk,8,55,Forrester_1a,1
64,hk,10,55,Forrester_1a,1
65,hk,12,55,Forrester_1a,1
66,hk,14,55,Forrester_1a,1
67,hk,16,55,Forrester_1a,1
