,method,num_hf,num_lf,problem,seed
0,mf_rbf,2,25,Forrester_1a,1
1,mf_rbf,4,25,Forrester_1a,1
2,mf_rbf,6,25,Forrester_1a,1
3,mf_rbf,8,25,Forrester_1a,1
4,mf_rbf,10,25,Forrester_1a,1
5,mf_rbf,12,25,Forrester_1a,1
6,mf_rbf,14,25,Forrester_1a,1
7,mf_rbf,16,25,Forrester_1a,1
8,mf_rbf,18,25,Forrester_1a,1
9,mf_rbf,20,25,Forrester_1a,1
10,mf_rbf,2,30,Forrester_1a,1
11,mf_rbf,4,30,Forrester_1a,1
12,mf_rbf,6,30,Forrester_1a,1
13,mf_rbf,8,30,Forrester_1a,1
14,mf_rbf,10,30,Forrester_1a,1
15,mf_rbf,12,30,Forrester_1a,1
16,mf_rbf,14,30,Forrester_1a,1
17,mf_rbf,16,30,Forrester_1a,1
18,mf_rbf,18,30,Forrester_1a,1
19,mf_rbf,20,30,Forrester_1a,1
20,mf_rbf,2,35,Forrester_1a,1
21,mf_rbf,4,35,Forrester_1a,1
22,mf_rbf,6,35,Forrester_1a,1
23,mf_rbf,8,35,Forrester_1a,1
24,mf_rbf,10,35,Forrester_1a,1
25,mf_rbf,12,35,Forrester_1a,1
26,mf_rbf,14,35,Forrester_1a,1
27,mf_rbf,16,35,Forrester_1a,1
28,mf_rbf,18,35,Forrester_1a,1
29,mf_rbf,20,35,Forrester_1a,1
30,mf_rbf,2,40,Forrester_1a,1
31,mf_rbf,4,40,Forrester_1a,1
32,mf_rbf,6,40,Forrester_1a,1
33,mf_rbf,8,40,Forrester_1a,1
34,mf_rbf,10,40,Forrester_1a,1
35,mf_rbf,12,40,Forrester_1a,1
36,mf_rbf,14,40,Forrester_1a,1
37,mf_rbf,16,40,Forrester_1a,1
38,mf_rbf,18,40,Forrester_1a,1
39,mf_rbf,20,40,Forrester_1a,1
40,mf_rbf,2,45,Forrester_1a,1
41,mf_rbf,4,45,Forrester_1a,1
42,mf_rbf,6,45,Forrester_1a,1
43,mf_rbf,8,45,Forrester_1a,1
44,mf_rbf,10,45,Forrester_1a,1
45,mf_rbf,12,45,Forrester_1a,1
46,mf_rbf,14,45,Forrester_1a,1
47,mf_rbf,16,45,Forrester_1a,1
48,mf_rbf,18,45,Forrester_1a,1
49,mf_rbf,20,45,Forrester_1a,1
50,mf_rbf,2,50,Forrester_1a,1
51,mf_rbf,4,50,Forrester_1a,1
52,mf_rbf,6,50,Forrester_1a,1
53,mf_rbf,8,50,Forrester_1a,1
54,mf_rbf,10,50,Forrester_1a,1
55,mf_rbf,12,50,Forrester_1a,1
56,mf_rbf,14,50,Forrester_1a,1
57,mf_rbf,16,50,Forrester_1a,1
58,mf_rbf,18,50,Forrester_1a,1
59,mf_rbf,20,50,Forrester_1a,1
60,mf_rbf,2,55,Forrester_1a,1
61,mf_rbf,4,55,Forrester_1a,1
62,mf_rbf,6,55,Forrester_1a,1
63,mf_rbf,8,55,Forrester_1a,1
64,mf_rbf,10,55,Forrester_1a,1
65,mf_rbf,12,55,Forrester_1a,1
66,mf_rbf,14,55,Forrester_1a,1
67,mf_rbf,16,55,Forrester_1a,1
68,mf_rbf,18,55,Forrester_1a,1
69,mf_rbf,20,55,Forrester_1a,1
70,mf_rbf,2,60,Forrester_1a,1
71,mf_rbf,4,60,Forrester_1a,1
72,mf_rbf,6,60,Forrester_1a,1
73,mf_rbf,8,60,Forrester_1a,1
74,mf_rbf,10,60,Forrester_1a,1
