,num_sample,problem,seed
0,2,Forrester_1a,1
1,4,Forrester_1a,1
2,6,Forrester_1a,1
3,8,Forrester_1a,1
4,10,Forrester_1a,1
5,12,Forrester_1a,1
6,14,Forrester_1a,1
7,16,Forrester_1a,1
8,18,Forrester_1a,1
9,20,Forrester_1a,1
10,22,Forrester_1a,1
11,24,Forrester_1a,1
12,26,Forrester_1a,1
13,28,Forrester_1a,1
14,30,Forrester_1a,1
15,32,Forrester_1a,1
16,34,Forrester_1a,1
17,36,Forrester_1a,1
18,38,Forrester_1a,1
19,40,Forrester_1a,1
20,2,Forrester_1a,2
21,4,Forrester_1a,2
22,6,Forrester_1a,2
23,8,Forrester_1a,2
24,10,Forrester_1a,2
25,12,Forrester_1a,2
26,14,Forrester_1a,2
27,16,Forrester_1a,2
28,18,Forrester_1a,2
29,20,Forrester_1a,2
30,22,Forrester_1a,2
31,24,Forrester_1a,2
32,26,Forrester_1a,2
33,28,Forrester_1a,2
34,30,Forrester_1a,2
35,32,Forrester_1a,2
36,34,Forrester_1a,2
37,36,Forrester_1a,2
38,38,Forrester_1a,2
39,40,Forrester_1a,2
40,2,Forrester_1a,3
41,4,Forrester_1a,3
42,6,Forrester_1a,3
43,8,Forrester_1a,3
44,10,Forrester_1a,3
45,12,Forrester_1a,3
46,14,Forrester_1a,3
47,16,Forrester_1a,3
48,18,Forrester_1a,3
49,20,Forrester_1a,3
50,22,Forrester_1a,3
51,24,Forrester_1a,3
52,26,Forrester_1a,3
53,28,Forrester_1a,3
54,30,Forrester_1a,3
55,32,Forrester_1a,3
56,34,Forrester_1a,3
57,36,Forrester_1a,3
58,38,Forrester_1a,3
59,40,Forrester_1a,3
60,2,Forrester_1a,4
61,4,Forrester_1a,4
62,6,Forrester_1a,4
63,8,Forrester_1a,4
64,10,Forrester_1a,4
65,12,Forrester_1a,4
66,14,Forrester_1a,4
67,16,Forrester_1a,4
68,18,Forrester_1a,4
69,20,Forrester_1a,4
70,22,Forrester_1a,4
71,24,Forrester_1a,4
72,26,Forrester_1a,4
73,28,Forrester_1a,4
74,30,Forrester_1a,4
75,32,Forrester_1a,4
76,34,Forrester_1a,4
77,36,Forrester_1a,4
78,38,Forrester_1a,4
79,40,Forrester_1a,4
80,2,Forrester_1a,5
81,4,Forrester_1a,5
82,6,Forrester_1a,5
83,8,Forrester_1a,5
84,10,Forrester_1a,5
85,12,Forrester_1a,5
86,14,Forrester_1a,5
87,16,Forrester_1a,5
88,18,Forrester_1a,5
89,20,Forrester_1a,5
90,22,Forrester_1a,5
91,24,Forrester_1a,5
92,26,Forrester_1a,5
93,28,Forrester_1a,5
94,30,Forrester_1a,5
95,32,Forrester_1a,5
96,34,Forrester_1a,5
97,36,Forrester_1a,5
98,38,Forrester_1a,5
99,40,Forrester_1a,5
100,2,mf_Bohachevsky,1
101,4,mf_Bohachevsky,1
102,6,mf_Bohachevsky,1
103,8,mf_Bohachevsky,1
104,10,mf_Bohachevsky,1
105,12,mf_Bohachevsky,1
106,14,mf_Bohachevsky,1
107,16,mf_Bohachevsky,1
108,18,mf_Bohachevsky,1
109,20,mf_Bohachevsky,1
110,22,mf_Bohachevsky,1
111,24,mf_Bohachevsky,1
112,26,mf_Bohachevsky,1
113,28,mf_Bohachevsky,1
114,30,mf_Bohachevsky,1
115,32,mf_Bohachevsky,1
116,34,mf_Bohachevsky,1
117,36,mf_Bohachevsky,1
118,38,mf_Bohachevsky,1
119,40,mf_Bohachevsky,1
120,2,mf_Bohachevsky,2
121,4,mf_Bohachevsky,2
