,num_sample,problem,seed
0,12,mf_Bohachevsky,1
1,14,mf_Bohachevsky,1
2,16,mf_Bohachevsky,1
3,18,mf_Bohachevsky,1
4,20,mf_Bohachevsky,1
5,12,mf_Bohachevsky,2
6,14,mf_Bohachevsky,2
7,16,mf_Bohachevsky,2
8,18,mf_Bohachevsky,2
9,20,mf_Bohachevsky,2
10,12,mf_Bohachevsky,3
11,14,mf_Bohachevsky,3
12,16,mf_Bohachevsky,3
13,18,mf_Bohachevsky,3
14,20,mf_Bohachevsky,3
15,12,mf_Bohachevsky,4
16,14,mf_Bohachevsky,4
17,16,mf_Bohachevsky,4
18,18,mf_Bohachevsky,4
19,20,mf_Bohachevsky,4
20,12,mf_Bohachevsky,5
21,14,mf_Bohachevsky,5
22,16,mf_Bohachevsky,5
23,18,mf_Bohachevsky,5
24,20,mf_Bohachevsky,5
25,12,mf_Bohachevsky,6
26,14,mf_Bohachevsky,6
27,16,mf_Bohachevsky,6
28,18,mf_Bohachevsky,6
29,20,mf_Bohachevsky,6
30,12,mf_Bohachevsky,7
31,14,mf_Bohachevsky,7
32,16,mf_Bohachevsky,7
33,18,mf_Bohachevsky,7
34,20,mf_Bohachevsky,7
35,12,mf_Bohachevsky,8
36,14,mf_Bohachevsky,8
37,16,mf_Bohachevsky,8
38,18,mf_Bohachevsky,8
39,20,mf_Bohachevsky,8
40,12,mf_Bohachevsky,9
41,14,mf_Bohachevsky,9
42,16,mf_Bohachevsky,9
43,18,mf_Bohachevsky,9
44,20,mf_Bohachevsky,9
45,12,mf_Bohachevsky,10
46,14,mf_Bohachevsky,10
47,16,mf_Bohachevsky,10
48,18,mf_Bohachevsky,10
49,20,mf_Bohachevsky,10
50,12,mf_Bohachevsky,11
51,14,mf_Bohachevsky,11
52,16,mf_Bohachevsky,11
53,18,mf_Bohachevsky,11
54,20,mf_Bohachevsky,11
55,12,mf_Bohachevsky,12
56,14,mf_Bohachevsky,12
57,16,mf_Bohachevsky,12
58,18,mf_Bohachevsky,12
59,20,mf_Bohachevsky,12
60,12,mf_Bohachevsky,13
61,14,mf_Bohachevsky,13
62,16,mf_Bohachevsky,13
63,18,mf_Bohachevsky,13
64,20,mf_Bohachevsky,13
65,12,mf_Bohachevsky,14
66,14,mf_Bohachevsky,14
67,16,mf_Bohachevsky,14
68,18,mf_Bohachevsky,14
69,20,mf_Bohachevsky,14
70,12,mf_Bohachevsky,15
71,14,mf_Bohachevsky,15
72,16,mf_Bohachevsky,15
73,18,mf_Bohachevsky,15
74,20,mf_Bohachevsky,15
75,12,mf_Bohachevsky,16
76,14,mf_Bohachevsky,16
77,16,mf_Bohachevsky,16
78,18,mf_Bohachevsky,16
79,20,mf_Bohachevsky,16
80,12,mf_Bohachevsky,17
81,14,mf_Bohachevsky,17
82,16,mf_Bohachevsky,17
83,18,mf_Bohachevsky,17
84,20,mf_Bohachevsky,17
85,12,mf_Bohachevsky,18
86,14,mf_Bohachevsky,18
87,16,mf_Bohachevsky,18
88,18,mf_Bohachevsky,18
89,20,mf_Bohachevsky,18
90,12,mf_Bohachevsky,19
91,14,mf_Bohachevsky,19
92,16,mf_Bohachevsky,19
93,18,mf_Bohachevsky,19
94,20,mf_Bohachevsky,19
95,12,mf_Bohachevsky,20
96,14,mf_Bohachevsky,20
97,16,mf_Bohachevsky,20
98,18,mf_Bohachevsky,20
99,20,mf_Bohachevsky,20
