# beta, nrmse, nmae, log_likelihood, log_likelihood_train
-4.000000000000000000e+00,3.059101360317392215e-01,8.986633619233053150e-01,-2.338950581165693450e+02,3.548770023737070289e+01
-3.899999999999999911e+00,3.761392973209458646e-01,1.405466740613976473e+00,-8.554092672915612638e+02,3.512791267522167260e+01
-3.799999999999999822e+00,2.790143773125464688e-01,9.212896330667164069e-01,-3.905488954875636409e+01,3.567926243301523925e+01
-3.700000000000000178e+00,3.592527673196621585e-01,1.283983028492121647e+00,-5.940894762715948900e+02,3.495967560313127365e+01
-3.600000000000000089e+00,2.826138559331043409e-01,8.372499824116264033e-01,6.518023684626012937e+01,3.386341782924154131e+01
-3.500000000000000000e+00,2.492865398942974431e-01,7.660615787559074130e-01,3.667978664244416223e+02,3.431837066694964022e+01
-3.399999999999999911e+00,3.042116122625637686e-01,1.189752915656341115e+00,-2.760310416666263791e+02,3.495225008875656414e+01
-3.299999999999999822e+00,2.213913264845009665e-01,6.383164317438619895e-01,5.966032311840151579e+02,3.420127663973429577e+01
-3.200000000000000178e+00,2.443946500681618283e-01,7.841045873219349982e-01,3.258203299871948388e+02,3.406734810842789329e+01
-3.100000000000000089e+00,2.447156859665462758e-01,6.251689821755049836e-01,4.107357006333267009e+02,3.478212701065113777e+01
-3.000000000000000000e+00,3.112383277096240075e-01,9.027569171908045309e-01,-1.678344378480431089e+02,3.387293389471476956e+01
-2.899999999999999911e+00,2.888734217261020309e-01,1.247431242511888527e+00,-2.757821830852693665e+02,3.387446220039200284e+01
-2.799999999999999822e+00,2.352660152354741629e-01,8.121720812534563017e-01,4.124748766659772059e+02,3.443898590655594916e+01
-2.700000000000000178e+00,2.760083376224514717e-01,6.291408089294381334e-01,5.677947922862713170e+01,3.232541734772969733e+01
-2.599999999999999645e+00,2.309621871111206814e-01,9.550685385308073094e-01,3.618651466782033594e+02,3.287491388910970613e+01
-2.500000000000000000e+00,2.646531417685871745e-01,6.740925932911482343e-01,4.919141192002308571e+01,3.379373064355507950e+01
-2.399999999999999911e+00,2.111260750388556373e-01,8.235201129415056220e-01,5.099912836729791366e+02,3.308151480621203433e+01
-2.299999999999999822e+00,2.096813048683788538e-01,8.286476426815198026e-01,6.172073435041187395e+02,3.189789921549571261e+01
-2.200000000000000178e+00,2.056341348514209577e-01,6.269182519806340004e-01,5.051438801131789091e+02,3.389310068374046381e+01
-2.099999999999999645e+00,2.706855142965645111e-01,9.650767473086522275e-01,-7.361311734121420614e+01,3.048273319979029949e+01
-2.000000000000000000e+00,2.787635166140921550e-01,8.530444071517263582e-01,-7.223259743154204671e+01,2.913442939659670827e+01
-1.899999999999999911e+00,2.437232242012867811e-01,6.343622259950022491e-01,1.763018803604649065e+02,3.185924104406954527e+01
-1.799999999999999822e+00,2.742825208727275865e-01,7.231685216799056404e-01,-1.754916227074187987e+02,2.893855269222835958e+01
-1.699999999999999734e+00,2.263591651387626413e-01,6.768375020933098396e-01,2.551465127957837637e+02,3.250338944881216463e+01
-1.599999999999999645e+00,3.167339943252691636e-01,7.526220186075207597e-01,-7.575529419412216612e+02,3.165337635807930283e+01
-1.500000000000000000e+00,2.399202308920741211e-01,6.924471216479790581e-01,1.380735087723486458e+02,2.858994311771857255e+01
-1.399999999999999911e+00,2.163683290681610305e-01,7.119955098089608692e-01,3.233758919443386617e+02,2.535523631179206561e+01
-1.299999999999999822e+00,2.635162826740244935e-01,8.190161204133337147e-01,-1.899019530876383897e+02,2.366104512152164574e+01
-1.199999999999999734e+00,2.489254836814028260e-01,7.218623124684531156e-01,1.302929291449354707e+02,2.718587527450626595e+01
-1.099999999999999645e+00,2.680002242031386817e-01,7.696397163618609039e-01,-2.244313305600010153e+02,2.241611396596797334e+01
-1.000000000000000000e+00,2.606276604017033760e-01,7.407294587049135792e-01,-2.250561008476796587e+01,2.347946938568482267e+01
-8.999999999999999112e-01,3.210053615584256836e-01,9.995739045184304228e-01,-1.221510278732923325e+03,-5.503570545451434981e+00
