nmae,nrmse,r2,log_likelihood
4.025626,0.78792566,-0.7378398398476294,-4.8975277
3.6676702,0.7589981,-0.6125781211020398,-5.1693726
3.514281,0.7766272,-0.6883576305638615,-5.950224
3.262233,0.72600406,-0.47542577335321146,-4.928951
3.7222726,0.7987407,-0.7858745907257039,-5.4362483
3.3898664,0.75528723,-0.5968481614896604,-5.1677217
3.5405152,0.773193,-0.6734589550941374,-6.141621
2.9302263,0.72046286,-0.45298952943083814,-4.9346704
3.2215364,0.72389495,-0.46686576102546695,-5.1150427
3.6340103,0.8032095,-0.8059136035209682,-5.8134255
