,method,noise_std,num_hf,num_lf,problem,seed
0,cokriging,0.1,5,50,mf_Bohachevsky,1
1,cokriging,0.3,5,50,mf_Bohachevsky,1
2,cokriging,0.5,5,50,mf_Bohachevsky,1
3,cokriging,0.1,10,50,mf_Bohachevsky,1
4,cokriging,0.3,10,50,mf_Bohachevsky,1
5,cokriging,0.5,10,50,mf_Bohachevsky,1
6,cokriging,0.1,15,50,mf_Bohachevsky,1
7,cokriging,0.3,15,50,mf_Bohachevsky,1
8,cokriging,0.5,15,50,mf_Bohachevsky,1
9,cokriging,0.1,20,50,mf_Bohachevsky,1
10,cokriging,0.3,20,50,mf_Bohachevsky,1
11,cokriging,0.5,20,50,mf_Bohachevsky,1
12,cokriging,0.1,25,50,mf_Bohachevsky,1
13,cokriging,0.3,25,50,mf_Bohachevsky,1
14,cokriging,0.5,25,50,mf_Bohachevsky,1
15,cokriging,0.1,30,50,mf_Bohachevsky,1
16,cokriging,0.3,30,50,mf_Bohachevsky,1
17,cokriging,0.5,30,50,mf_Bohachevsky,1
18,cokriging,0.1,5,75,mf_Bohachevsky,1
19,cokriging,0.3,5,75,mf_Bohachevsky,1
20,cokriging,0.5,5,75,mf_Bohachevsky,1
21,cokriging,0.1,10,75,mf_Bohachevsky,1
22,cokriging,0.3,10,75,mf_Bohachevsky,1
23,cokriging,0.5,10,75,mf_Bohachevsky,1
24,cokriging,0.1,15,75,mf_Bohachevsky,1
25,cokriging,0.3,15,75,mf_Bohachevsky,1
26,cokriging,0.5,15,75,mf_Bohachevsky,1
27,cokriging,0.1,20,75,mf_Bohachevsky,1
28,cokriging,0.3,20,75,mf_Bohachevsky,1
29,cokriging,0.5,20,75,mf_Bohachevsky,1
30,cokriging,0.1,25,75,mf_Bohachevsky,1
31,cokriging,0.3,25,75,mf_Bohachevsky,1
32,cokriging,0.5,25,75,mf_Bohachevsky,1
33,cokriging,0.1,30,75,mf_Bohachevsky,1
34,cokriging,0.3,30,75,mf_Bohachevsky,1
35,cokriging,0.5,30,75,mf_Bohachevsky,1
36,cokriging,0.1,5,100,mf_Bohachevsky,1
37,cokriging,0.3,5,100,mf_Bohachevsky,1
38,cokriging,0.5,5,100,mf_Bohachevsky,1
39,cokriging,0.1,10,100,mf_Bohachevsky,1
40,cokriging,0.3,10,100,mf_Bohachevsky,1
41,cokriging,0.5,10,100,mf_Bohachevsky,1
42,cokriging,0.1,15,100,mf_Bohachevsky,1
43,cokriging,0.3,15,100,mf_Bohachevsky,1
44,cokriging,0.5,15,100,mf_Bohachevsky,1
45,cokriging,0.1,20,100,mf_Bohachevsky,1
46,cokriging,0.3,20,100,mf_Bohachevsky,1
47,cokriging,0.5,20,100,mf_Bohachevsky,1
48,cokriging,0.1,25,100,mf_Bohachevsky,1
49,cokriging,0.3,25,100,mf_Bohachevsky,1
50,cokriging,0.5,25,100,mf_Bohachevsky,1
51,cokriging,0.1,30,100,mf_Bohachevsky,1
52,cokriging,0.3,30,100,mf_Bohachevsky,1
53,cokriging,0.5,30,100,mf_Bohachevsky,1
54,cokriging,0.1,5,125,mf_Bohachevsky,1
55,cokriging,0.3,5,125,mf_Bohachevsky,1
56,cokriging,0.5,5,125,mf_Bohachevsky,1
57,cokriging,0.1,10,125,mf_Bohachevsky,1
58,cokriging,0.3,10,125,mf_Bohachevsky,1
59,cokriging,0.5,10,125,mf_Bohachevsky,1
60,cokriging,0.1,15,125,mf_Bohachevsky,1
61,cokriging,0.3,15,125,mf_Bohachevsky,1
62,cokriging,0.5,15,125,mf_Bohachevsky,1
63,cokriging,0.1,20,125,mf_Bohachevsky,1
64,cokriging,0.3,20,125,mf_Bohachevsky,1
65,cokriging,0.5,20,125,mf_Bohachevsky,1
66,cokriging,0.1,25,125,mf_Bohachevsky,1
67,cokriging,0.3,25,125,mf_Bohachevsky,1
68,cokriging,0.5,25,125,mf_Bohachevsky,1
69,cokriging,0.1,30,125,mf_Bohachevsky,1
70,cokriging,0.3,30,125,mf_Bohachevsky,1
71,cokriging,0.5,30,125,mf_Bohachevsky,1
72,cokriging,0.1,5,150,mf_Bohachevsky,1
73,cokriging,0.3,5,150,mf_Bohachevsky,1
74,cokriging,0.5,5,150,mf_Bohachevsky,1
75,cokriging,0.1,10,150,mf_Bohachevsky,1
76,cokriging,0.3,10,150,mf_Bohachevsky,1
77,cokriging,0.5,10,150,mf_Bohachevsky,1
78,cokriging,0.1,15,150,mf_Bohachevsky,1
79,cokriging,0.3,15,150,mf_Bohachevsky,1
80,cokriging,0.5,15,150,mf_Bohachevsky,1
81,cokriging,0.1,20,150,mf_Bohachevsky,1
82,cokriging,0.3,20,150,mf_Bohachevsky,1
83,cokriging,0.5,20,150,mf_Bohachevsky,1
84,cokriging,0.1,25,150,mf_Bohachevsky,1
85,cokriging,0.3,25,150,mf_Bohachevsky,1
86,cokriging,0.5,25,150,mf_Bohachevsky,1
87,cokriging,0.1,30,150,mf_Bohachevsky,1
88,cokriging,0.3,30,150,mf_Bohachevsky,1
89,cokriging,0.5,30,150,mf_Bohachevsky,1
90,cokriging,0.1,5,175,mf_Bohachevsky,1
91,cokriging,0.3,5,175,mf_Bohachevsky,1
92,cokriging,0.5,5,175,mf_Bohachevsky,1
93,cokriging,0.1,10,175,mf_Bohachevsky,1
94,cokriging,0.3,10,175,mf_Bohachevsky,1
95,cokriging,0.5,10,175,mf_Bohachevsky,1
96,cokriging,0.1,15,175,mf_Bohachevsky,1
97,cokriging,0.3,15,175,mf_Bohachevsky,1
98,cokriging,0.5,15,175,mf_Bohachevsky,1
99,cokriging,0.1,20,175,mf_Bohachevsky,1
100,cokriging,0.3,20,175,mf_Bohachevsky,1
101,cokriging,0.5,20,175,mf_Bohachevsky,1
102,cokriging,0.1,25,175,mf_Bohachevsky,1
103,cokriging,0.3,25,175,mf_Bohachevsky,1
104,cokriging,0.5,25,175,mf_Bohachevsky,1
105,cokriging,0.1,30,175,mf_Bohachevsky,1
106,cokriging,0.3,30,175,mf_Bohachevsky,1
107,cokriging,0.5,30,175,mf_Bohachevsky,1
108,cokriging,0.1,5,200,mf_Bohachevsky,1
109,cokriging,0.3,5,200,mf_Bohachevsky,1
110,cokriging,0.5,5,200,mf_Bohachevsky,1
111,cokriging,0.1,10,200,mf_Bohachevsky,1
112,cokriging,0.3,10,200,mf_Bohachevsky,1
113,cokriging,0.5,10,200,mf_Bohachevsky,1
114,cokriging,0.1,15,200,mf_Bohachevsky,1
115,cokriging,0.3,15,200,mf_Bohachevsky,1
116,cokriging,0.5,15,200,mf_Bohachevsky,1
117,cokriging,0.1,20,200,mf_Bohachevsky,1
118,cokriging,0.3,20,200,mf_Bohachevsky,1
119,cokriging,0.5,20,200,mf_Bohachevsky,1
120,cokriging,0.1,25,200,mf_Bohachevsky,1
121,cokriging,0.3,25,200,mf_Bohachevsky,1
122,cokriging,0.5,25,200,mf_Bohachevsky,1
123,cokriging,0.1,30,200,mf_Bohachevsky,1
124,cokriging,0.3,30,200,mf_Bohachevsky,1
125,cokriging,0.5,30,200,mf_Bohachevsky,1
126,cokriging,0.1,5,50,mf_Bohachevsky,2
127,cokriging,0.3,5,50,mf_Bohachevsky,2
128,cokriging,0.5,5,50,mf_Bohachevsky,2
129,cokriging,0.1,10,50,mf_Bohachevsky,2
130,cokriging,0.3,10,50,mf_Bohachevsky,2
131,cokriging,0.5,10,50,mf_Bohachevsky,2
132,cokriging,0.1,15,50,mf_Bohachevsky,2
133,cokriging,0.3,15,50,mf_Bohachevsky,2
134,cokriging,0.5,15,50,mf_Bohachevsky,2
135,cokriging,0.1,20,50,mf_Bohachevsky,2
136,cokriging,0.3,20,50,mf_Bohachevsky,2
137,cokriging,0.5,20,50,mf_Bohachevsky,2
138,cokriging,0.1,25,50,mf_Bohachevsky,2
139,cokriging,0.3,25,50,mf_Bohachevsky,2
140,cokriging,0.5,25,50,mf_Bohachevsky,2
141,cokriging,0.1,30,50,mf_Bohachevsky,2
142,cokriging,0.3,30,50,mf_Bohachevsky,2
143,cokriging,0.5,30,50,mf_Bohachevsky,2
144,cokriging,0.1,5,75,mf_Bohachevsky,2
145,cokriging,0.3,5,75,mf_Bohachevsky,2
146,cokriging,0.5,5,75,mf_Bohachevsky,2
147,cokriging,0.1,10,75,mf_Bohachevsky,2
148,cokriging,0.3,10,75,mf_Bohachevsky,2
149,cokriging,0.5,10,75,mf_Bohachevsky,2
150,cokriging,0.1,15,75,mf_Bohachevsky,2
151,cokriging,0.3,15,75,mf_Bohachevsky,2
152,cokriging,0.5,15,75,mf_Bohachevsky,2
153,cokriging,0.1,20,75,mf_Bohachevsky,2
154,cokriging,0.3,20,75,mf_Bohachevsky,2
155,cokriging,0.5,20,75,mf_Bohachevsky,2
156,cokriging,0.1,25,75,mf_Bohachevsky,2
157,cokriging,0.3,25,75,mf_Bohachevsky,2
158,cokriging,0.5,25,75,mf_Bohachevsky,2
159,cokriging,0.1,30,75,mf_Bohachevsky,2
160,cokriging,0.3,30,75,mf_Bohachevsky,2
161,cokriging,0.5,30,75,mf_Bohachevsky,2
162,cokriging,0.1,5,100,mf_Bohachevsky,2
163,cokriging,0.3,5,100,mf_Bohachevsky,2
164,cokriging,0.5,5,100,mf_Bohachevsky,2
165,cokriging,0.1,10,100,mf_Bohachevsky,2
166,cokriging,0.3,10,100,mf_Bohachevsky,2
167,cokriging,0.5,10,100,mf_Bohachevsky,2
168,cokriging,0.1,15,100,mf_Bohachevsky,2
169,cokriging,0.3,15,100,mf_Bohachevsky,2
170,cokriging,0.5,15,100,mf_Bohachevsky,2
171,cokriging,0.1,20,100,mf_Bohachevsky,2
172,cokriging,0.3,20,100,mf_Bohachevsky,2
173,cokriging,0.5,20,100,mf_Bohachevsky,2
174,cokriging,0.1,25,100,mf_Bohachevsky,2
175,cokriging,0.3,25,100,mf_Bohachevsky,2
176,cokriging,0.5,25,100,mf_Bohachevsky,2
177,cokriging,0.1,30,100,mf_Bohachevsky,2
178,cokriging,0.3,30,100,mf_Bohachevsky,2
179,cokriging,0.5,30,100,mf_Bohachevsky,2
180,cokriging,0.1,5,125,mf_Bohachevsky,2
181,cokriging,0.3,5,125,mf_Bohachevsky,2
182,cokriging,0.5,5,125,mf_Bohachevsky,2
183,cokriging,0.1,10,125,mf_Bohachevsky,2
184,cokriging,0.3,10,125,mf_Bohachevsky,2
185,cokriging,0.5,10,125,mf_Bohachevsky,2
186,cokriging,0.1,15,125,mf_Bohachevsky,2
187,cokriging,0.3,15,125,mf_Bohachevsky,2
188,cokriging,0.5,15,125,mf_Bohachevsky,2
189,cokriging,0.1,20,125,mf_Bohachevsky,2
190,cokriging,0.3,20,125,mf_Bohachevsky,2
191,cokriging,0.5,20,125,mf_Bohachevsky,2
192,cokriging,0.1,25,125,mf_Bohachevsky,2
193,cokriging,0.3,25,125,mf_Bohachevsky,2
194,cokriging,0.5,25,125,mf_Bohachevsky,2
195,cokriging,0.1,30,125,mf_Bohachevsky,2
196,cokriging,0.3,30,125,mf_Bohachevsky,2
197,cokriging,0.5,30,125,mf_Bohachevsky,2
198,cokriging,0.1,5,150,mf_Bohachevsky,2
199,cokriging,0.3,5,150,mf_Bohachevsky,2
200,cokriging,0.5,5,150,mf_Bohachevsky,2
201,cokriging,0.1,10,150,mf_Bohachevsky,2
202,cokriging,0.3,10,150,mf_Bohachevsky,2
203,cokriging,0.5,10,150,mf_Bohachevsky,2
204,cokriging,0.1,15,150,mf_Bohachevsky,2
205,cokriging,0.3,15,150,mf_Bohachevsky,2
206,cokriging,0.5,15,150,mf_Bohachevsky,2
207,cokriging,0.1,20,150,mf_Bohachevsky,2
208,cokriging,0.3,20,150,mf_Bohachevsky,2
209,cokriging,0.5,20,150,mf_Bohachevsky,2
210,cokriging,0.1,25,150,mf_Bohachevsky,2
211,cokriging,0.3,25,150,mf_Bohachevsky,2
212,cokriging,0.5,25,150,mf_Bohachevsky,2
213,cokriging,0.1,30,150,mf_Bohachevsky,2
214,cokriging,0.3,30,150,mf_Bohachevsky,2
215,cokriging,0.5,30,150,mf_Bohachevsky,2
216,cokriging,0.1,5,175,mf_Bohachevsky,2
217,cokriging,0.3,5,175,mf_Bohachevsky,2
218,cokriging,0.5,5,175,mf_Bohachevsky,2
219,cokriging,0.1,10,175,mf_Bohachevsky,2
220,cokriging,0.3,10,175,mf_Bohachevsky,2
221,cokriging,0.5,10,175,mf_Bohachevsky,2
222,cokriging,0.1,15,175,mf_Bohachevsky,2
223,cokriging,0.3,15,175,mf_Bohachevsky,2
224,cokriging,0.5,15,175,mf_Bohachevsky,2
225,cokriging,0.1,20,175,mf_Bohachevsky,2
226,cokriging,0.3,20,175,mf_Bohachevsky,2
227,cokriging,0.5,20,175,mf_Bohachevsky,2
228,cokriging,0.1,25,175,mf_Bohachevsky,2
229,cokriging,0.3,25,175,mf_Bohachevsky,2
230,cokriging,0.5,25,175,mf_Bohachevsky,2
231,cokriging,0.1,30,175,mf_Bohachevsky,2
232,cokriging,0.3,30,175,mf_Bohachevsky,2
233,cokriging,0.5,30,175,mf_Bohachevsky,2
234,cokriging,0.1,5,200,mf_Bohachevsky,2
235,cokriging,0.3,5,200,mf_Bohachevsky,2
236,cokriging,0.5,5,200,mf_Bohachevsky,2
237,cokriging,0.1,10,200,mf_Bohachevsky,2
238,cokriging,0.3,10,200,mf_Bohachevsky,2
239,cokriging,0.5,10,200,mf_Bohachevsky,2
240,cokriging,0.1,15,200,mf_Bohachevsky,2
241,cokriging,0.3,15,200,mf_Bohachevsky,2
242,cokriging,0.5,15,200,mf_Bohachevsky,2
243,cokriging,0.1,20,200,mf_Bohachevsky,2
244,cokriging,0.3,20,200,mf_Bohachevsky,2
245,cokriging,0.5,20,200,mf_Bohachevsky,2
246,cokriging,0.1,25,200,mf_Bohachevsky,2
247,cokriging,0.3,25,200,mf_Bohachevsky,2
248,cokriging,0.5,25,200,mf_Bohachevsky,2
249,cokriging,0.1,30,200,mf_Bohachevsky,2
250,cokriging,0.3,30,200,mf_Bohachevsky,2
251,cokriging,0.5,30,200,mf_Bohachevsky,2
252,cokriging,0.1,5,50,mf_Bohachevsky,3
253,cokriging,0.3,5,50,mf_Bohachevsky,3
254,cokriging,0.5,5,50,mf_Bohachevsky,3
255,cokriging,0.1,10,50,mf_Bohachevsky,3
256,cokriging,0.3,10,50,mf_Bohachevsky,3
257,cokriging,0.5,10,50,mf_Bohachevsky,3
258,cokriging,0.1,15,50,mf_Bohachevsky,3
259,cokriging,0.3,15,50,mf_Bohachevsky,3
260,cokriging,0.5,15,50,mf_Bohachevsky,3
261,cokriging,0.1,20,50,mf_Bohachevsky,3
262,cokriging,0.3,20,50,mf_Bohachevsky,3
263,cokriging,0.5,20,50,mf_Bohachevsky,3
264,cokriging,0.1,25,50,mf_Bohachevsky,3
265,cokriging,0.3,25,50,mf_Bohachevsky,3
266,cokriging,0.5,25,50,mf_Bohachevsky,3
267,cokriging,0.1,30,50,mf_Bohachevsky,3
268,cokriging,0.3,30,50,mf_Bohachevsky,3
269,cokriging,0.5,30,50,mf_Bohachevsky,3
270,cokriging,0.1,5,75,mf_Bohachevsky,3
271,cokriging,0.3,5,75,mf_Bohachevsky,3
272,cokriging,0.5,5,75,mf_Bohachevsky,3
273,cokriging,0.1,10,75,mf_Bohachevsky,3
274,cokriging,0.3,10,75,mf_Bohachevsky,3
275,cokriging,0.5,10,75,mf_Bohachevsky,3
276,cokriging,0.1,15,75,mf_Bohachevsky,3
277,cokriging,0.3,15,75,mf_Bohachevsky,3
278,cokriging,0.5,15,75,mf_Bohachevsky,3
279,cokriging,0.1,20,75,mf_Bohachevsky,3
280,cokriging,0.3,20,75,mf_Bohachevsky,3
281,cokriging,0.5,20,75,mf_Bohachevsky,3
282,cokriging,0.1,25,75,mf_Bohachevsky,3
283,cokriging,0.3,25,75,mf_Bohachevsky,3
284,cokriging,0.5,25,75,mf_Bohachevsky,3
285,cokriging,0.1,30,75,mf_Bohachevsky,3
286,cokriging,0.3,30,75,mf_Bohachevsky,3
287,cokriging,0.5,30,75,mf_Bohachevsky,3
288,cokriging,0.1,5,100,mf_Bohachevsky,3
289,cokriging,0.3,5,100,mf_Bohachevsky,3
290,cokriging,0.5,5,100,mf_Bohachevsky,3
291,cokriging,0.1,10,100,mf_Bohachevsky,3
292,cokriging,0.3,10,100,mf_Bohachevsky,3
293,cokriging,0.5,10,100,mf_Bohachevsky,3
294,cokriging,0.1,15,100,mf_Bohachevsky,3
295,cokriging,0.3,15,100,mf_Bohachevsky,3
296,cokriging,0.5,15,100,mf_Bohachevsky,3
297,cokriging,0.1,20,100,mf_Bohachevsky,3
298,cokriging,0.3,20,100,mf_Bohachevsky,3
299,cokriging,0.5,20,100,mf_Bohachevsky,3
300,cokriging,0.1,25,100,mf_Bohachevsky,3
301,cokriging,0.3,25,100,mf_Bohachevsky,3
302,cokriging,0.5,25,100,mf_Bohachevsky,3
303,cokriging,0.1,30,100,mf_Bohachevsky,3
304,cokriging,0.3,30,100,mf_Bohachevsky,3
305,cokriging,0.5,30,100,mf_Bohachevsky,3
306,cokriging,0.1,5,125,mf_Bohachevsky,3
307,cokriging,0.3,5,125,mf_Bohachevsky,3
