,method,noise_std,num_hf,num_lf,problem,seed
0,cokriging,0.1,5.0,50.0,mf_Bohachevsky,1.0
1,cokriging,0.3,5.0,50.0,mf_Bohachevsky,1.0
2,cokriging,0.5,5.0,50.0,mf_Bohachevsky,1.0
3,cokriging,0.1,10.0,50.0,mf_Bohachevsky,1.0
4,cokriging,0.3,10.0,50.0,mf_Bohachevsky,1.0
5,cokriging,0.5,10.0,50.0,mf_Bohachevsky,1.0
6,cokriging,0.1,15.0,50.0,mf_Bohachevsky,1.0
7,cokriging,0.3,15.0,50.0,mf_Bohachevsky,1.0
8,cokriging,0.5,15.0,50.0,mf_Bohachevsky,1.0
9,cokriging,0.1,20.0,50.0,mf_Bohachevsky,1.0
10,cokriging,0.3,20.0,50.0,mf_Bohachevsky,1.0
11,cokriging,0.5,20.0,50.0,mf_Bohachevsky,1.0
12,cokriging,0.1,25.0,50.0,mf_Bohachevsky,1.0
13,cokriging,0.3,25.0,50.0,mf_Bohachevsky,1.0
14,cokriging,0.5,25.0,50.0,mf_Bohachevsky,1.0
15,cokriging,0.1,30.0,50.0,mf_Bohachevsky,1.0
16,cokriging,0.3,30.0,50.0,mf_Bohachevsky,1.0
17,cokriging,0.5,30.0,50.0,mf_Bohachevsky,1.0
18,cokriging,0.1,5.0,75.0,mf_Bohachevsky,1.0
19,cokriging,0.3,5.0,75.0,mf_Bohachevsky,1.0
20,cokriging,0.5,5.0,75.0,mf_Bohachevsky,1.0
21,cokriging,0.1,10.0,75.0,mf_Bohachevsky,1.0
22,cokriging,0.3,10.0,75.0,mf_Bohachevsky,1.0
23,cokriging,0.5,10.0,75.0,mf_Bohachevsky,1.0
24,cokriging,0.1,15.0,75.0,mf_Bohachevsky,1.0
25,cokriging,0.3,15.0,75.0,mf_Bohachevsky,1.0
26,cokriging,0.5,15.0,75.0,mf_Bohachevsky,1.0
27,cokriging,0.1,20.0,75.0,mf_Bohachevsky,1.0
28,cokriging,0.3,20.0,75.0,mf_Bohachevsky,1.0
29,cokriging,0.5,20.0,75.0,mf_Bohachevsky,1.0
30,cokriging,0.1,25.0,75.0,mf_Bohachevsky,1.0
31,cokriging,0.3,25.0,75.0,mf_Bohachevsky,1.0
32,cokriging,0.5,25.0,75.0,mf_Bohachevsky,1.0
33,cokriging,0.1,30.0,75.0,mf_Bohachevsky,1.0
34,cokriging,0.3,30.0,75.0,mf_Bohachevsky,1.0
35,cokriging,0.5,30.0,75.0,mf_Bohachevsky,1.0
36,cokriging,0.1,5.0,100.0,mf_Bohachevsky,1.0
37,cokriging,0.3,5.0,100.0,mf_Bohachevsky,1.0
38,cokriging,0.5,5.0,100.0,mf_Bohachevsky,1.0
39,cokriging,0.1,10.0,100.0,mf_Bohachevsky,1.0
40,cokriging,0.3,10.0,100.0,mf_Bohachevsky,1.0
41,cokriging,0.5,10.0,100.0,mf_Bohachevsky,1.0
42,cokriging,0.1,15.0,100.0,mf_Bohachevsky,1.0
43,cokriging,0.3,15.0,100.0,mf_Bohachevsky,1.0
44,cokriging,0.5,15.0,100.0,mf_Bohachevsky,1.0
