,method,noise_std,num_hf,num_lf,problem,seed
0,hk,0.1,5,200,Forrester_1b,1
1,mf_rbf_gpr,0.1,10,200,Forrester_1b,1
2,scaled_kriging,0.1,15,200,Forrester_1b,1
3,hk,0.1,20,200,Forrester_1b,1
4,hk,0.1,25,200,Forrester_1b,1
5,hk,0.1,30,200,Forrester_1b,1
6,hk,0.1,5,200,Forrester_1b,2
7,cokriging,0.1,10,200,Forrester_1b,2
8,cokriging,0.1,15,200,Forrester_1b,2
9,mf_rbf_gpr,0.1,20,200,Forrester_1b,2
10,hk,0.1,25,200,Forrester_1b,2
11,cokriging,0.1,30,200,Forrester_1b,2
12,scaled_kriging,0.1,5,200,Forrester_1b,3
13,scaled_kriging,0.1,10,200,Forrester_1b,3
14,hk,0.1,15,200,Forrester_1b,3
15,mf_rbf_gpr,0.1,20,200,Forrester_1b,3
16,hk,0.1,25,200,Forrester_1b,3
17,mf_rbf_gpr,0.1,30,200,Forrester_1b,3
18,hk,0.1,5,200,Forrester_1b,4
19,scaled_kriging,0.1,10,200,Forrester_1b,4
20,scaled_kriging,0.1,15,200,Forrester_1b,4
21,scaled_kriging,0.1,20,200,Forrester_1b,4
22,hk,0.1,25,200,Forrester_1b,4
23,scaled_kriging,0.1,30,200,Forrester_1b,4
24,scaled_kriging,0.1,5,200,Forrester_1b,5
25,mf_rbf_gpr,0.1,10,200,Forrester_1b,5
26,hk,0.1,15,200,Forrester_1b,5
27,mf_rbf_gpr,0.1,20,200,Forrester_1b,5
28,cokriging,0.1,25,200,Forrester_1b,5
29,scaled_kriging,0.1,30,200,Forrester_1b,5
