,method,noise_std,num_hf,num_lf,problem,seed
0,cokriging,0.3,5,200,mf_Bohachevsky,1
1,scaled_kriging,0.3,10,200,mf_Bohachevsky,1
2,hk,0.3,15,200,mf_Bohachevsky,1
3,mf_rbf_gpr,0.3,20,200,mf_Bohachevsky,1
4,scaled_kriging,0.3,25,200,mf_Bohachevsky,1
5,hk,0.3,30,200,mf_Bohachevsky,1
6,mf_rbf_gpr,0.3,5,200,mf_Bohachevsky,2
7,cokriging,0.3,10,200,mf_Bohachevsky,2
8,scaled_kriging,0.3,15,200,mf_Bohachevsky,2
9,hk,0.3,20,200,mf_Bohachevsky,2
10,mf_rbf_gpr,0.3,25,200,mf_Bohachevsky,2
11,hk,0.3,30,200,mf_Bohachevsky,2
12,mf_rbf_gpr,0.3,5,200,mf_Bohachevsky,3
13,mf_rbf_gpr,0.3,10,200,mf_Bohachevsky,3
14,hk,0.3,15,200,mf_Bohachevsky,3
15,mf_rbf_gpr,0.3,20,200,mf_Bohachevsky,3
16,scaled_kriging,0.3,25,200,mf_Bohachevsky,3
17,cokriging,0.3,30,200,mf_Bohachevsky,3
18,cokriging,0.3,5,200,mf_Bohachevsky,4
19,scaled_kriging,0.3,10,200,mf_Bohachevsky,4
20,scaled_kriging,0.3,15,200,mf_Bohachevsky,4
21,cokriging,0.3,20,200,mf_Bohachevsky,4
22,mf_rbf_gpr,0.3,25,200,mf_Bohachevsky,4
23,cokriging,0.3,30,200,mf_Bohachevsky,4
24,mf_rbf_gpr,0.3,5,200,mf_Bohachevsky,5
25,cokriging,0.3,10,200,mf_Bohachevsky,5
26,hk,0.3,15,200,mf_Bohachevsky,5
27,hk,0.3,20,200,mf_Bohachevsky,5
28,cokriging,0.3,25,200,mf_Bohachevsky,5
29,mf_rbf_gpr,0.3,30,200,mf_Bohachevsky,5
30,mf_rbf_gpr,0.3,5,200,Forrester_1b,1
31,scaled_kriging,0.3,10,200,Forrester_1b,1
32,mf_rbf_gpr,0.3,15,200,Forrester_1b,1
33,hk,0.3,20,200,Forrester_1b,1
34,mf_rbf_gpr,0.3,25,200,Forrester_1b,1
35,mf_rbf_gpr,0.3,30,200,Forrester_1b,1
36,mf_rbf_gpr,0.3,5,200,Forrester_1b,2
37,hk,0.3,10,200,Forrester_1b,2
38,cokriging,0.3,15,200,Forrester_1b,2
39,hk,0.3,20,200,Forrester_1b,2
40,mf_rbf_gpr,0.3,25,200,Forrester_1b,2
41,cokriging,0.3,30,200,Forrester_1b,2
42,mf_rbf_gpr,0.3,5,200,Forrester_1b,3
43,cokriging,0.3,10,200,Forrester_1b,3
44,mf_rbf_gpr,0.3,15,200,Forrester_1b,3
45,hk,0.3,20,200,Forrester_1b,3
46,cokriging,0.3,25,200,Forrester_1b,3
47,scaled_kriging,0.3,30,200,Forrester_1b,3
48,scaled_kriging,0.3,5,200,Forrester_1b,4
49,mf_rbf_gpr,0.3,10,200,Forrester_1b,4
50,scaled_kriging,0.3,15,200,Forrester_1b,4
51,cokriging,0.3,20,200,Forrester_1b,4
52,cokriging,0.3,25,200,Forrester_1b,4
53,mf_rbf_gpr,0.3,30,200,Forrester_1b,4
54,mf_rbf_gpr,0.3,5,200,Forrester_1b,5
55,hk,0.3,10,200,Forrester_1b,5
56,cokriging,0.3,15,200,Forrester_1b,5
57,mf_rbf_gpr,0.3,20,200,Forrester_1b,5
58,cokriging,0.3,25,200,Forrester_1b,5
59,cokriging,0.3,30,200,Forrester_1b,5
60,hk,0.3,5,200,mf_Booth,1
61,mf_rbf_gpr,0.3,10,200,mf_Booth,1
62,mf_rbf_gpr,0.3,15,200,mf_Booth,1
63,mf_rbf_gpr,0.3,20,200,mf_Booth,1
64,scaled_kriging,0.3,25,200,mf_Booth,1
65,mf_rbf_gpr,0.3,30,200,mf_Booth,1
66,mf_rbf_gpr,0.3,5,200,mf_Booth,2
67,mf_rbf_gpr,0.3,10,200,mf_Booth,2
68,cokriging,0.3,15,200,mf_Booth,2
69,cokriging,0.3,20,200,mf_Booth,2
70,hk,0.3,25,200,mf_Booth,2
71,hk,0.3,30,200,mf_Booth,2
72,scaled_kriging,0.3,5,200,mf_Booth,3
73,hk,0.3,10,200,mf_Booth,3
74,mf_rbf_gpr,0.3,15,200,mf_Booth,3
75,hk,0.3,20,200,mf_Booth,3
76,scaled_kriging,0.3,25,200,mf_Booth,3
77,cokriging,0.3,30,200,mf_Booth,3
78,hk,0.3,5,200,mf_Booth,4
79,cokriging,0.3,10,200,mf_Booth,4
80,cokriging,0.3,15,200,mf_Booth,4
81,mf_rbf_gpr,0.3,20,200,mf_Booth,4
82,cokriging,0.3,25,200,mf_Booth,4
83,mf_rbf_gpr,0.3,30,200,mf_Booth,4
84,cokriging,0.3,5,200,mf_Booth,5
85,cokriging,0.3,10,200,mf_Booth,5
86,cokriging,0.3,15,200,mf_Booth,5
87,cokriging,0.3,20,200,mf_Booth,5
88,scaled_kriging,0.3,25,200,mf_Booth,5
89,cokriging,0.3,30,200,mf_Booth,5
90,hk,0.3,5,200,mf_Borehole,1
91,cokriging,0.3,10,200,mf_Borehole,1
92,scaled_kriging,0.3,15,200,mf_Borehole,1
93,mf_rbf_gpr,0.3,20,200,mf_Borehole,1
94,cokriging,0.3,25,200,mf_Borehole,1
95,mf_rbf_gpr,0.3,30,200,mf_Borehole,1
96,cokriging,0.3,5,200,mf_Borehole,2
97,scaled_kriging,0.3,10,200,mf_Borehole,2
98,scaled_kriging,0.3,15,200,mf_Borehole,2
99,mf_rbf_gpr,0.3,20,200,mf_Borehole,2
100,mf_rbf_gpr,0.3,25,200,mf_Borehole,2
101,cokriging,0.3,30,200,mf_Borehole,2
102,hk,0.3,5,200,mf_Borehole,3
103,mf_rbf_gpr,0.3,10,200,mf_Borehole,3
104,scaled_kriging,0.3,15,200,mf_Borehole,3
105,scaled_kriging,0.3,20,200,mf_Borehole,3
106,mf_rbf_gpr,0.3,25,200,mf_Borehole,3
107,hk,0.3,30,200,mf_Borehole,3
108,mf_rbf_gpr,0.3,5,200,mf_Borehole,4
109,mf_rbf_gpr,0.3,10,200,mf_Borehole,4
110,hk,0.3,15,200,mf_Borehole,4
111,hk,0.3,20,200,mf_Borehole,4
112,mf_rbf_gpr,0.3,25,200,mf_Borehole,4
113,hk,0.3,30,200,mf_Borehole,4
114,mf_rbf_gpr,0.3,5,200,mf_Borehole,5
115,cokriging,0.3,10,200,mf_Borehole,5
116,mf_rbf_gpr,0.3,15,200,mf_Borehole,5
117,mf_rbf_gpr,0.3,20,200,mf_Borehole,5
118,mf_rbf_gpr,0.3,25,200,mf_Borehole,5
119,hk,0.3,30,200,mf_Borehole,5
120,hk,0.3,5,200,mf_CurrinExp,1
121,mf_rbf_gpr,0.3,10,200,mf_CurrinExp,1
122,scaled_kriging,0.3,15,200,mf_CurrinExp,1
123,cokriging,0.3,20,200,mf_CurrinExp,1
124,scaled_kriging,0.3,25,200,mf_CurrinExp,1
125,cokriging,0.3,30,200,mf_CurrinExp,1
126,scaled_kriging,0.3,5,200,mf_CurrinExp,2
127,cokriging,0.3,10,200,mf_CurrinExp,2
128,hk,0.3,15,200,mf_CurrinExp,2
129,cokriging,0.3,20,200,mf_CurrinExp,2
130,hk,0.3,25,200,mf_CurrinExp,2
131,scaled_kriging,0.3,30,200,mf_CurrinExp,2
132,scaled_kriging,0.3,5,200,mf_CurrinExp,3
133,mf_rbf_gpr,0.3,10,200,mf_CurrinExp,3
134,hk,0.3,15,200,mf_CurrinExp,3
135,scaled_kriging,0.3,20,200,mf_CurrinExp,3
136,cokriging,0.3,25,200,mf_CurrinExp,3
137,cokriging,0.3,30,200,mf_CurrinExp,3
138,scaled_kriging,0.3,5,200,mf_CurrinExp,4
139,scaled_kriging,0.3,10,200,mf_CurrinExp,4
140,cokriging,0.3,15,200,mf_CurrinExp,4
141,scaled_kriging,0.3,20,200,mf_CurrinExp,4
142,scaled_kriging,0.3,25,200,mf_CurrinExp,4
143,cokriging,0.3,30,200,mf_CurrinExp,4
144,hk,0.3,5,200,mf_CurrinExp,5
145,hk,0.3,10,200,mf_CurrinExp,5
146,scaled_kriging,0.3,15,200,mf_CurrinExp,5
147,cokriging,0.3,20,200,mf_CurrinExp,5
148,cokriging,0.3,25,200,mf_CurrinExp,5
149,scaled_kriging,0.3,30,200,mf_CurrinExp,5
150,hk,0.3,5,200,mf_Hartman3,1
151,cokriging,0.3,10,200,mf_Hartman3,1
152,mf_rbf_gpr,0.3,15,200,mf_Hartman3,1
153,cokriging,0.3,20,200,mf_Hartman3,1
154,cokriging,0.3,25,200,mf_Hartman3,1
155,cokriging,0.3,30,200,mf_Hartman3,1
156,mf_rbf_gpr,0.3,5,200,mf_Hartman3,2
157,scaled_kriging,0.3,10,200,mf_Hartman3,2
158,mf_rbf_gpr,0.3,15,200,mf_Hartman3,2
159,hk,0.3,20,200,mf_Hartman3,2
160,scaled_kriging,0.3,25,200,mf_Hartman3,2
161,scaled_kriging,0.3,30,200,mf_Hartman3,2
162,mf_rbf_gpr,0.3,5,200,mf_Hartman3,3
163,cokriging,0.3,10,200,mf_Hartman3,3
164,cokriging,0.3,15,200,mf_Hartman3,3
165,mf_rbf_gpr,0.3,20,200,mf_Hartman3,3
166,mf_rbf_gpr,0.3,25,200,mf_Hartman3,3
167,hk,0.3,30,200,mf_Hartman3,3
168,mf_rbf_gpr,0.3,5,200,mf_Hartman3,4
169,mf_rbf_gpr,0.3,10,200,mf_Hartman3,4
170,hk,0.3,15,200,mf_Hartman3,4
171,hk,0.3,20,200,mf_Hartman3,4
172,mf_rbf_gpr,0.3,25,200,mf_Hartman3,4
173,hk,0.3,30,200,mf_Hartman3,4
174,hk,0.3,5,200,mf_Hartman3,5
175,cokriging,0.3,10,200,mf_Hartman3,5
176,cokriging,0.3,15,200,mf_Hartman3,5
177,cokriging,0.3,20,200,mf_Hartman3,5
178,mf_rbf_gpr,0.3,25,200,mf_Hartman3,5
179,hk,0.3,30,200,mf_Hartman3,5
180,hk,0.3,5,200,mf_Hartman6,1
181,scaled_kriging,0.3,10,200,mf_Hartman6,1
182,cokriging,0.3,15,200,mf_Hartman6,1
183,hk,0.3,20,200,mf_Hartman6,1
184,hk,0.3,25,200,mf_Hartman6,1
185,hk,0.3,30,200,mf_Hartman6,1
186,cokriging,0.3,5,200,mf_Hartman6,2
187,scaled_kriging,0.3,10,200,mf_Hartman6,2
188,scaled_kriging,0.3,15,200,mf_Hartman6,2
189,cokriging,0.3,20,200,mf_Hartman6,2
190,scaled_kriging,0.3,25,200,mf_Hartman6,2
191,scaled_kriging,0.3,30,200,mf_Hartman6,2
192,mf_rbf_gpr,0.3,5,200,mf_Hartman6,3
193,scaled_kriging,0.3,10,200,mf_Hartman6,3
194,scaled_kriging,0.3,15,200,mf_Hartman6,3
195,mf_rbf_gpr,0.3,20,200,mf_Hartman6,3
196,mf_rbf_gpr,0.3,25,200,mf_Hartman6,3
197,hk,0.3,30,200,mf_Hartman6,3
198,scaled_kriging,0.3,5,200,mf_Hartman6,4
199,cokriging,0.3,10,200,mf_Hartman6,4
200,scaled_kriging,0.3,15,200,mf_Hartman6,4
201,mf_rbf_gpr,0.3,20,200,mf_Hartman6,4
202,mf_rbf_gpr,0.3,25,200,mf_Hartman6,4
203,scaled_kriging,0.3,30,200,mf_Hartman6,4
204,hk,0.3,5,200,mf_Hartman6,5
205,hk,0.3,10,200,mf_Hartman6,5
206,hk,0.3,15,200,mf_Hartman6,5
207,mf_rbf_gpr,0.3,20,200,mf_Hartman6,5
208,hk,0.3,25,200,mf_Hartman6,5
209,hk,0.3,30,200,mf_Hartman6,5
210,mf_rbf_gpr,0.3,5,200,mf_Park91A,1
211,mf_rbf_gpr,0.3,10,200,mf_Park91A,1
212,mf_rbf_gpr,0.3,15,200,mf_Park91A,1
213,mf_rbf_gpr,0.3,20,200,mf_Park91A,1
214,scaled_kriging,0.3,25,200,mf_Park91A,1
215,mf_rbf_gpr,0.3,30,200,mf_Park91A,1
216,scaled_kriging,0.3,5,200,mf_Park91A,2
217,hk,0.3,10,200,mf_Park91A,2
218,mf_rbf_gpr,0.3,15,200,mf_Park91A,2
219,hk,0.3,20,200,mf_Park91A,2
220,cokriging,0.3,25,200,mf_Park91A,2
221,hk,0.3,30,200,mf_Park91A,2
222,mf_rbf_gpr,0.3,5,200,mf_Park91A,3
223,cokriging,0.3,10,200,mf_Park91A,3
224,cokriging,0.3,15,200,mf_Park91A,3
225,hk,0.3,20,200,mf_Park91A,3
226,scaled_kriging,0.3,25,200,mf_Park91A,3
227,cokriging,0.3,30,200,mf_Park91A,3
228,scaled_kriging,0.3,5,200,mf_Park91A,4
229,cokriging,0.3,10,200,mf_Park91A,4
230,cokriging,0.3,15,200,mf_Park91A,4
