,method,noise_std,num_hf,num_lf,problem,seed
0,scaled_kriging,0.1,5,50,mf_Bohachevsky,1
1,scaled_kriging,0.3,5,50,mf_Bohachevsky,1
2,scaled_kriging,0.5,5,50,mf_Bohachevsky,1
3,scaled_kriging,0.1,10,50,mf_Bohachevsky,1
4,scaled_kriging,0.3,10,50,mf_Bohachevsky,1
5,scaled_kriging,0.5,10,50,mf_Bohachevsky,1
6,scaled_kriging,0.1,15,50,mf_Bohachevsky,1
7,scaled_kriging,0.3,15,50,mf_Bohachevsky,1
8,scaled_kriging,0.5,15,50,mf_Bohachevsky,1
9,scaled_kriging,0.1,20,50,mf_Bohachevsky,1
10,scaled_kriging,0.3,20,50,mf_Bohachevsky,1
11,scaled_kriging,0.5,20,50,mf_Bohachevsky,1
12,scaled_kriging,0.1,25,50,mf_Bohachevsky,1
13,scaled_kriging,0.3,25,50,mf_Bohachevsky,1
14,scaled_kriging,0.5,25,50,mf_Bohachevsky,1
15,scaled_kriging,0.1,30,50,mf_Bohachevsky,1
16,scaled_kriging,0.3,30,50,mf_Bohachevsky,1
17,scaled_kriging,0.5,30,50,mf_Bohachevsky,1
18,scaled_kriging,0.1,5,75,mf_Bohachevsky,1
19,scaled_kriging,0.3,5,75,mf_Bohachevsky,1
20,scaled_kriging,0.5,5,75,mf_Bohachevsky,1
21,scaled_kriging,0.1,10,75,mf_Bohachevsky,1
22,scaled_kriging,0.3,10,75,mf_Bohachevsky,1
23,scaled_kriging,0.5,10,75,mf_Bohachevsky,1
24,scaled_kriging,0.1,15,75,mf_Bohachevsky,1
25,scaled_kriging,0.3,15,75,mf_Bohachevsky,1
26,scaled_kriging,0.5,15,75,mf_Bohachevsky,1
27,scaled_kriging,0.1,20,75,mf_Bohachevsky,1
28,scaled_kriging,0.3,20,75,mf_Bohachevsky,1
29,scaled_kriging,0.5,20,75,mf_Bohachevsky,1
30,scaled_kriging,0.1,25,75,mf_Bohachevsky,1
31,scaled_kriging,0.3,25,75,mf_Bohachevsky,1
32,scaled_kriging,0.5,25,75,mf_Bohachevsky,1
33,scaled_kriging,0.1,30,75,mf_Bohachevsky,1
34,scaled_kriging,0.3,30,75,mf_Bohachevsky,1
35,scaled_kriging,0.5,30,75,mf_Bohachevsky,1
36,scaled_kriging,0.1,5,100,mf_Bohachevsky,1
37,scaled_kriging,0.3,5,100,mf_Bohachevsky,1
38,scaled_kriging,0.5,5,100,mf_Bohachevsky,1
39,scaled_kriging,0.1,10,100,mf_Bohachevsky,1
40,scaled_kriging,0.3,10,100,mf_Bohachevsky,1
41,scaled_kriging,0.5,10,100,mf_Bohachevsky,1
42,scaled_kriging,0.1,15,100,mf_Bohachevsky,1
43,scaled_kriging,0.3,15,100,mf_Bohachevsky,1
44,scaled_kriging,0.5,15,100,mf_Bohachevsky,1
45,scaled_kriging,0.1,20,100,mf_Bohachevsky,1
46,scaled_kriging,0.3,20,100,mf_Bohachevsky,1
47,scaled_kriging,0.5,20,100,mf_Bohachevsky,1
48,scaled_kriging,0.1,25,100,mf_Bohachevsky,1
49,scaled_kriging,0.3,25,100,mf_Bohachevsky,1
50,scaled_kriging,0.5,25,100,mf_Bohachevsky,1
51,scaled_kriging,0.1,30,100,mf_Bohachevsky,1
52,scaled_kriging,0.3,30,100,mf_Bohachevsky,1
53,scaled_kriging,0.5,30,100,mf_Bohachevsky,1
54,scaled_kriging,0.1,5,125,mf_Bohachevsky,1
55,scaled_kriging,0.3,5,125,mf_Bohachevsky,1
56,scaled_kriging,0.5,5,125,mf_Bohachevsky,1
57,scaled_kriging,0.1,10,125,mf_Bohachevsky,1
58,scaled_kriging,0.3,10,125,mf_Bohachevsky,1
59,scaled_kriging,0.5,10,125,mf_Bohachevsky,1
60,scaled_kriging,0.1,15,125,mf_Bohachevsky,1
61,scaled_kriging,0.3,15,125,mf_Bohachevsky,1
62,scaled_kriging,0.5,15,125,mf_Bohachevsky,1
63,scaled_kriging,0.1,20,125,mf_Bohachevsky,1
64,scaled_kriging,0.3,20,125,mf_Bohachevsky,1
65,scaled_kriging,0.5,20,125,mf_Bohachevsky,1
66,scaled_kriging,0.1,25,125,mf_Bohachevsky,1
67,scaled_kriging,0.3,25,125,mf_Bohachevsky,1
68,scaled_kriging,0.5,25,125,mf_Bohachevsky,1
69,scaled_kriging,0.1,30,125,mf_Bohachevsky,1
70,scaled_kriging,0.3,30,125,mf_Bohachevsky,1
71,scaled_kriging,0.5,30,125,mf_Bohachevsky,1
72,scaled_kriging,0.1,5,150,mf_Bohachevsky,1
73,scaled_kriging,0.3,5,150,mf_Bohachevsky,1
74,scaled_kriging,0.5,5,150,mf_Bohachevsky,1
75,scaled_kriging,0.1,10,150,mf_Bohachevsky,1
76,scaled_kriging,0.3,10,150,mf_Bohachevsky,1
77,scaled_kriging,0.5,10,150,mf_Bohachevsky,1
78,scaled_kriging,0.1,15,150,mf_Bohachevsky,1
79,scaled_kriging,0.3,15,150,mf_Bohachevsky,1
80,scaled_kriging,0.5,15,150,mf_Bohachevsky,1
81,scaled_kriging,0.1,20,150,mf_Bohachevsky,1
82,scaled_kriging,0.3,20,150,mf_Bohachevsky,1
83,scaled_kriging,0.5,20,150,mf_Bohachevsky,1
84,scaled_kriging,0.1,25,150,mf_Bohachevsky,1
85,scaled_kriging,0.3,25,150,mf_Bohachevsky,1
86,scaled_kriging,0.5,25,150,mf_Bohachevsky,1
87,scaled_kriging,0.1,30,150,mf_Bohachevsky,1
88,scaled_kriging,0.3,30,150,mf_Bohachevsky,1
89,scaled_kriging,0.5,30,150,mf_Bohachevsky,1
90,scaled_kriging,0.1,5,175,mf_Bohachevsky,1
91,scaled_kriging,0.3,5,175,mf_Bohachevsky,1
92,scaled_kriging,0.5,5,175,mf_Bohachevsky,1
93,scaled_kriging,0.1,10,175,mf_Bohachevsky,1
94,scaled_kriging,0.3,10,175,mf_Bohachevsky,1
95,scaled_kriging,0.5,10,175,mf_Bohachevsky,1
96,scaled_kriging,0.1,15,175,mf_Bohachevsky,1
97,scaled_kriging,0.3,15,175,mf_Bohachevsky,1
98,scaled_kriging,0.5,15,175,mf_Bohachevsky,1
99,scaled_kriging,0.1,20,175,mf_Bohachevsky,1
100,scaled_kriging,0.3,20,175,mf_Bohachevsky,1
101,scaled_kriging,0.5,20,175,mf_Bohachevsky,1
102,scaled_kriging,0.1,25,175,mf_Bohachevsky,1
103,scaled_kriging,0.3,25,175,mf_Bohachevsky,1
104,scaled_kriging,0.5,25,175,mf_Bohachevsky,1
105,scaled_kriging,0.1,30,175,mf_Bohachevsky,1
106,scaled_kriging,0.3,30,175,mf_Bohachevsky,1
107,scaled_kriging,0.5,30,175,mf_Bohachevsky,1
108,scaled_kriging,0.1,5,200,mf_Bohachevsky,1
109,scaled_kriging,0.3,5,200,mf_Bohachevsky,1
110,scaled_kriging,0.5,5,200,mf_Bohachevsky,1
111,scaled_kriging,0.1,10,200,mf_Bohachevsky,1
112,scaled_kriging,0.3,10,200,mf_Bohachevsky,1
113,scaled_kriging,0.5,10,200,mf_Bohachevsky,1
114,scaled_kriging,0.1,15,200,mf_Bohachevsky,1
115,scaled_kriging,0.3,15,200,mf_Bohachevsky,1
116,scaled_kriging,0.5,15,200,mf_Bohachevsky,1
117,scaled_kriging,0.1,20,200,mf_Bohachevsky,1
118,scaled_kriging,0.3,20,200,mf_Bohachevsky,1
119,scaled_kriging,0.5,20,200,mf_Bohachevsky,1
120,scaled_kriging,0.1,25,200,mf_Bohachevsky,1
121,scaled_kriging,0.3,25,200,mf_Bohachevsky,1
122,scaled_kriging,0.5,25,200,mf_Bohachevsky,1
123,scaled_kriging,0.1,30,200,mf_Bohachevsky,1
124,scaled_kriging,0.3,30,200,mf_Bohachevsky,1
125,scaled_kriging,0.5,30,200,mf_Bohachevsky,1
126,scaled_kriging,0.1,5,50,mf_Bohachevsky,2
127,scaled_kriging,0.3,5,50,mf_Bohachevsky,2
128,scaled_kriging,0.5,5,50,mf_Bohachevsky,2
129,scaled_kriging,0.1,10,50,mf_Bohachevsky,2
130,scaled_kriging,0.3,10,50,mf_Bohachevsky,2
131,scaled_kriging,0.5,10,50,mf_Bohachevsky,2
132,scaled_kriging,0.1,15,50,mf_Bohachevsky,2
133,scaled_kriging,0.3,15,50,mf_Bohachevsky,2
134,scaled_kriging,0.5,15,50,mf_Bohachevsky,2
135,scaled_kriging,0.1,20,50,mf_Bohachevsky,2
136,scaled_kriging,0.3,20,50,mf_Bohachevsky,2
137,scaled_kriging,0.5,20,50,mf_Bohachevsky,2
138,scaled_kriging,0.1,25,50,mf_Bohachevsky,2
139,scaled_kriging,0.3,25,50,mf_Bohachevsky,2
140,scaled_kriging,0.5,25,50,mf_Bohachevsky,2
141,scaled_kriging,0.1,30,50,mf_Bohachevsky,2
142,scaled_kriging,0.3,30,50,mf_Bohachevsky,2
143,scaled_kriging,0.5,30,50,mf_Bohachevsky,2
144,scaled_kriging,0.1,5,75,mf_Bohachevsky,2
145,scaled_kriging,0.3,5,75,mf_Bohachevsky,2
146,scaled_kriging,0.5,5,75,mf_Bohachevsky,2
147,scaled_kriging,0.1,10,75,mf_Bohachevsky,2
148,scaled_kriging,0.3,10,75,mf_Bohachevsky,2
149,scaled_kriging,0.5,10,75,mf_Bohachevsky,2
150,scaled_kriging,0.1,15,75,mf_Bohachevsky,2
151,scaled_kriging,0.3,15,75,mf_Bohachevsky,2
152,scaled_kriging,0.5,15,75,mf_Bohachevsky,2
153,scaled_kriging,0.1,20,75,mf_Bohachevsky,2
154,scaled_kriging,0.3,20,75,mf_Bohachevsky,2
155,scaled_kriging,0.5,20,75,mf_Bohachevsky,2
156,scaled_kriging,0.1,25,75,mf_Bohachevsky,2
157,scaled_kriging,0.3,25,75,mf_Bohachevsky,2
158,scaled_kriging,0.5,25,75,mf_Bohachevsky,2
159,scaled_kriging,0.1,30,75,mf_Bohachevsky,2
160,scaled_kriging,0.3,30,75,mf_Bohachevsky,2
161,scaled_kriging,0.5,30,75,mf_Bohachevsky,2
162,scaled_kriging,0.1,5,100,mf_Bohachevsky,2
163,scaled_kriging,0.3,5,100,mf_Bohachevsky,2
164,scaled_kriging,0.5,5,100,mf_Bohachevsky,2
165,scaled_kriging,0.1,10,100,mf_Bohachevsky,2
166,scaled_kriging,0.3,10,100,mf_Bohachevsky,2
167,scaled_kriging,0.5,10,100,mf_Bohachevsky,2
168,scaled_kriging,0.1,15,100,mf_Bohachevsky,2
169,scaled_kriging,0.3,15,100,mf_Bohachevsky,2
170,scaled_kriging,0.5,15,100,mf_Bohachevsky,2
171,scaled_kriging,0.1,20,100,mf_Bohachevsky,2
172,scaled_kriging,0.3,20,100,mf_Bohachevsky,2
173,scaled_kriging,0.5,20,100,mf_Bohachevsky,2
174,scaled_kriging,0.1,25,100,mf_Bohachevsky,2
175,scaled_kriging,0.3,25,100,mf_Bohachevsky,2
176,scaled_kriging,0.5,25,100,mf_Bohachevsky,2
177,scaled_kriging,0.1,30,100,mf_Bohachevsky,2
178,scaled_kriging,0.3,30,100,mf_Bohachevsky,2
179,scaled_kriging,0.5,30,100,mf_Bohachevsky,2
180,scaled_kriging,0.1,5,125,mf_Bohachevsky,2
181,scaled_kriging,0.3,5,125,mf_Bohachevsky,2
182,scaled_kriging,0.5,5,125,mf_Bohachevsky,2
183,scaled_kriging,0.1,10,125,mf_Bohachevsky,2
184,scaled_kriging,0.3,10,125,mf_Bohachevsky,2
185,scaled_kriging,0.5,10,125,mf_Bohachevsky,2
186,scaled_kriging,0.1,15,125,mf_Bohachevsky,2
187,scaled_kriging,0.3,15,125,mf_Bohachevsky,2
188,scaled_kriging,0.5,15,125,mf_Bohachevsky,2
189,scaled_kriging,0.1,20,125,mf_Bohachevsky,2
190,scaled_kriging,0.3,20,125,mf_Bohachevsky,2
191,scaled_kriging,0.5,20,125,mf_Bohachevsky,2
192,scaled_kriging,0.1,25,125,mf_Bohachevsky,2
193,scaled_kriging,0.3,25,125,mf_Bohachevsky,2
194,scaled_kriging,0.5,25,125,mf_Bohachevsky,2
195,scaled_kriging,0.1,30,125,mf_Bohachevsky,2
196,scaled_kriging,0.3,30,125,mf_Bohachevsky,2
197,scaled_kriging,0.5,30,125,mf_Bohachevsky,2
198,scaled_kriging,0.1,5,150,mf_Bohachevsky,2
199,scaled_kriging,0.3,5,150,mf_Bohachevsky,2
200,scaled_kriging,0.5,5,150,mf_Bohachevsky,2
201,scaled_kriging,0.1,10,150,mf_Bohachevsky,2
202,scaled_kriging,0.3,10,150,mf_Bohachevsky,2
203,scaled_kriging,0.5,10,150,mf_Bohachevsky,2
204,scaled_kriging,0.1,15,150,mf_Bohachevsky,2
205,scaled_kriging,0.3,15,150,mf_Bohachevsky,2
206,scaled_kriging,0.5,15,150,mf_Bohachevsky,2
207,scaled_kriging,0.1,20,150,mf_Bohachevsky,2
208,scaled_kriging,0.3,20,150,mf_Bohachevsky,2
209,scaled_kriging,0.5,20,150,mf_Bohachevsky,2
210,scaled_kriging,0.1,25,150,mf_Bohachevsky,2
211,scaled_kriging,0.3,25,150,mf_Bohachevsky,2
212,scaled_kriging,0.5,25,150,mf_Bohachevsky,2
213,scaled_kriging,0.1,30,150,mf_Bohachevsky,2
214,scaled_kriging,0.3,30,150,mf_Bohachevsky,2
215,scaled_kriging,0.5,30,150,mf_Bohachevsky,2
216,scaled_kriging,0.1,5,175,mf_Bohachevsky,2
217,scaled_kriging,0.3,5,175,mf_Bohachevsky,2
218,scaled_kriging,0.5,5,175,mf_Bohachevsky,2
219,scaled_kriging,0.1,10,175,mf_Bohachevsky,2
220,scaled_kriging,0.3,10,175,mf_Bohachevsky,2
221,scaled_kriging,0.5,10,175,mf_Bohachevsky,2
222,scaled_kriging,0.1,15,175,mf_Bohachevsky,2
223,scaled_kriging,0.3,15,175,mf_Bohachevsky,2
224,scaled_kriging,0.5,15,175,mf_Bohachevsky,2
225,scaled_kriging,0.1,20,175,mf_Bohachevsky,2
226,scaled_kriging,0.3,20,175,mf_Bohachevsky,2
227,scaled_kriging,0.5,20,175,mf_Bohachevsky,2
228,scaled_kriging,0.1,25,175,mf_Bohachevsky,2
229,scaled_kriging,0.3,25,175,mf_Bohachevsky,2
230,scaled_kriging,0.5,25,175,mf_Bohachevsky,2
231,scaled_kriging,0.1,30,175,mf_Bohachevsky,2
232,scaled_kriging,0.3,30,175,mf_Bohachevsky,2
233,scaled_kriging,0.5,30,175,mf_Bohachevsky,2
234,scaled_kriging,0.1,5,200,mf_Bohachevsky,2
235,scaled_kriging,0.3,5,200,mf_Bohachevsky,2
236,scaled_kriging,0.5,5,200,mf_Bohachevsky,2
237,scaled_kriging,0.1,10,200,mf_Bohachevsky,2
238,scaled_kriging,0.3,10,200,mf_Bohachevsky,2
239,scaled_kriging,0.5,10,200,mf_Bohachevsky,2
240,scaled_kriging,0.1,15,200,mf_Bohachevsky,2
241,scaled_kriging,0.3,15,200,mf_Bohachevsky,2
242,scaled_kriging,0.5,15,200,mf_Bohachevsky,2
243,scaled_kriging,0.1,20,200,mf_Bohachevsky,2
244,scaled_kriging,0.3,20,200,mf_Bohachevsky,2
245,scaled_kriging,0.5,20,200,mf_Bohachevsky,2
246,scaled_kriging,0.1,25,200,mf_Bohachevsky,2
247,scaled_kriging,0.3,25,200,mf_Bohachevsky,2
248,scaled_kriging,0.5,25,200,mf_Bohachevsky,2
249,scaled_kriging,0.1,30,200,mf_Bohachevsky,2
250,scaled_kriging,0.3,30,200,mf_Bohachevsky,2
251,scaled_kriging,0.5,30,200,mf_Bohachevsky,2
252,scaled_kriging,0.1,5,50,mf_Bohachevsky,3
253,scaled_kriging,0.3,5,50,mf_Bohachevsky,3
254,scaled_kriging,0.5,5,50,mf_Bohachevsky,3
255,scaled_kriging,0.1,10,50,mf_Bohachevsky,3
256,scaled_kriging,0.3,10,50,mf_Bohachevsky,3
257,scaled_kriging,0.5,10,50,mf_Bohachevsky,3
258,scaled_kriging,0.1,15,50,mf_Bohachevsky,3
