,num_sample,problem,seed
0,2,mf_Bohachevsky,1
1,4,mf_Bohachevsky,1
2,6,mf_Bohachevsky,1
3,8,mf_Bohachevsky,1
4,10,mf_Bohachevsky,1
5,12,mf_Bohachevsky,1
6,14,mf_Bohachevsky,1
7,16,mf_Bohachevsky,1
8,18,mf_Bohachevsky,1
9,20,mf_Bohachevsky,1
10,22,mf_Bohachevsky,1
11,24,mf_Bohachevsky,1
12,26,mf_Bohachevsky,1
13,28,mf_Bohachevsky,1
14,30,mf_Bohachevsky,1
15,32,mf_Bohachevsky,1
16,34,mf_Bohachevsky,1
17,36,mf_Bohachevsky,1
18,38,mf_Bohachevsky,1
19,40,mf_Bohachevsky,1
20,2,mf_Bohachevsky,2
21,4,mf_Bohachevsky,2
22,6,mf_Bohachevsky,2
23,8,mf_Bohachevsky,2
24,10,mf_Bohachevsky,2
25,12,mf_Bohachevsky,2
26,14,mf_Bohachevsky,2
27,16,mf_Bohachevsky,2
28,18,mf_Bohachevsky,2
29,20,mf_Bohachevsky,2
30,22,mf_Bohachevsky,2
31,24,mf_Bohachevsky,2
32,26,mf_Bohachevsky,2
33,28,mf_Bohachevsky,2
34,30,mf_Bohachevsky,2
35,32,mf_Bohachevsky,2
36,34,mf_Bohachevsky,2
37,36,mf_Bohachevsky,2
38,38,mf_Bohachevsky,2
39,40,mf_Bohachevsky,2
40,2,mf_Bohachevsky,3
41,4,mf_Bohachevsky,3
42,6,mf_Bohachevsky,3
43,8,mf_Bohachevsky,3
44,10,mf_Bohachevsky,3
45,12,mf_Bohachevsky,3
46,14,mf_Bohachevsky,3
47,16,mf_Bohachevsky,3
48,18,mf_Bohachevsky,3
49,20,mf_Bohachevsky,3
50,22,mf_Bohachevsky,3
51,24,mf_Bohachevsky,3
52,26,mf_Bohachevsky,3
53,28,mf_Bohachevsky,3
54,30,mf_Bohachevsky,3
55,32,mf_Bohachevsky,3
56,34,mf_Bohachevsky,3
57,36,mf_Bohachevsky,3
58,38,mf_Bohachevsky,3
59,40,mf_Bohachevsky,3
60,2,mf_Bohachevsky,4
61,4,mf_Bohachevsky,4
62,6,mf_Bohachevsky,4
63,8,mf_Bohachevsky,4
64,10,mf_Bohachevsky,4
65,12,mf_Bohachevsky,4
66,14,mf_Bohachevsky,4
67,16,mf_Bohachevsky,4
68,18,mf_Bohachevsky,4
69,20,mf_Bohachevsky,4
70,22,mf_Bohachevsky,4
71,24,mf_Bohachevsky,4
72,26,mf_Bohachevsky,4
73,28,mf_Bohachevsky,4
74,30,mf_Bohachevsky,4
75,32,mf_Bohachevsky,4
76,34,mf_Bohachevsky,4
77,36,mf_Bohachevsky,4
78,38,mf_Bohachevsky,4
79,40,mf_Bohachevsky,4
80,2,mf_Bohachevsky,5
81,4,mf_Bohachevsky,5
82,6,mf_Bohachevsky,5
83,8,mf_Bohachevsky,5
84,10,mf_Bohachevsky,5
85,12,mf_Bohachevsky,5
86,14,mf_Bohachevsky,5
87,16,mf_Bohachevsky,5
88,18,mf_Bohachevsky,5
89,20,mf_Bohachevsky,5
90,22,mf_Bohachevsky,5
91,24,mf_Bohachevsky,5
92,26,mf_Bohachevsky,5
93,28,mf_Bohachevsky,5
94,30,mf_Bohachevsky,5
95,32,mf_Bohachevsky,5
96,34,mf_Bohachevsky,5
97,36,mf_Bohachevsky,5
98,38,mf_Bohachevsky,5
99,40,mf_Bohachevsky,5
100,2,mf_Booth,1
101,4,mf_Booth,1
102,6,mf_Booth,1
103,8,mf_Booth,1
104,10,mf_Booth,1
105,12,mf_Booth,1
106,14,mf_Booth,1
107,16,mf_Booth,1
108,18,mf_Booth,1
109,20,mf_Booth,1
110,22,mf_Booth,1
111,24,mf_Booth,1
112,26,mf_Booth,1
113,28,mf_Booth,1
114,30,mf_Booth,1
115,32,mf_Booth,1
116,34,mf_Booth,1
117,36,mf_Booth,1
118,38,mf_Booth,1
119,40,mf_Booth,1
120,2,mf_Booth,2
121,4,mf_Booth,2
122,6,mf_Booth,2
123,8,mf_Booth,2
124,10,mf_Booth,2
125,12,mf_Booth,2
126,14,mf_Booth,2
127,16,mf_Booth,2
128,18,mf_Booth,2
129,20,mf_Booth,2
130,22,mf_Booth,2
131,24,mf_Booth,2
132,26,mf_Booth,2
133,28,mf_Booth,2
134,30,mf_Booth,2
135,32,mf_Booth,2
136,34,mf_Booth,2
137,36,mf_Booth,2
138,38,mf_Booth,2
139,40,mf_Booth,2
140,2,mf_Booth,3
141,4,mf_Booth,3
142,6,mf_Booth,3
143,8,mf_Booth,3
144,10,mf_Booth,3
145,12,mf_Booth,3
146,14,mf_Booth,3
147,16,mf_Booth,3
148,18,mf_Booth,3
149,20,mf_Booth,3
150,22,mf_Booth,3
151,24,mf_Booth,3
152,26,mf_Booth,3
153,28,mf_Booth,3
154,30,mf_Booth,3
155,32,mf_Booth,3
156,34,mf_Booth,3
157,36,mf_Booth,3
158,38,mf_Booth,3
159,40,mf_Booth,3
160,2,mf_Booth,4
161,4,mf_Booth,4
162,6,mf_Booth,4
163,8,mf_Booth,4
164,10,mf_Booth,4
165,12,mf_Booth,4
166,14,mf_Booth,4
167,16,mf_Booth,4
168,18,mf_Booth,4
169,20,mf_Booth,4
170,22,mf_Booth,4
171,24,mf_Booth,4
172,26,mf_Booth,4
173,28,mf_Booth,4
174,30,mf_Booth,4
175,32,mf_Booth,4
176,34,mf_Booth,4
177,36,mf_Booth,4
178,38,mf_Booth,4
179,40,mf_Booth,4
180,2,mf_Booth,5
181,4,mf_Booth,5
182,6,mf_Booth,5
183,8,mf_Booth,5
184,10,mf_Booth,5
185,12,mf_Booth,5
186,14,mf_Booth,5
187,16,mf_Booth,5
188,18,mf_Booth,5
189,20,mf_Booth,5
190,22,mf_Booth,5
191,24,mf_Booth,5
192,26,mf_Booth,5
193,28,mf_Booth,5
194,30,mf_Booth,5
195,32,mf_Booth,5
196,34,mf_Booth,5
197,36,mf_Booth,5
198,38,mf_Booth,5
199,40,mf_Booth,5
200,2,mf_Borehole,1
201,4,mf_Borehole,1
202,6,mf_Borehole,1
203,8,mf_Borehole,1
204,10,mf_Borehole,1
205,12,mf_Borehole,1
206,14,mf_Borehole,1
207,16,mf_Borehole,1
